topic_id,top_words,top_probabilities
11,loss@250.12 loss@179.12 loss@241.13 frag@212.04 frag@118.92 loss@187.13 loss@323.12 loss@251.16 loss@272.04 frag@206.1 loss@192.01 loss@213.16 loss@209.04 loss@383.14 frag@106.08 loss@315.09 loss@311.11 frag@162.97 loss@266.01 loss@240.14,0.121948041 0.04528359696 0.03472815081 0.03248511627 0.0201412309 0.01528212894 0.01217850484 0.01143507101 0.01114057098 0.01061734837 0.009731938131 0.007382819429 0.005531907082 0.005470186938 0.005220504478 0.004989408888 0.004831350874 0.004811184946 0.004666234367 0.004203022923
12,loss@164.08 loss@192.08 loss@334.13 loss@252.06 loss@186.12 loss@242.08 frag@178.09 frag@239.15 loss@344.11 loss@215.06 loss@354.09 loss@372.11 loss@331.15 frag@275.1 loss@235.08 frag@319.16 frag@314.13 loss@183.08 loss@148.09 loss@161.08,0.6289107203 0.04736682773 0.04634995386 0.01426657569 0.01224182639 0.010937782 0.009979888797 0.008321628906 0.006391150411 0.006104459986 0.005368893035 0.005092320964 0.004611022305 0.004575802479 0.004495698027 0.004203263205 0.003462905297 0.003334346227 0.003016654402 0.002734836657
13,frag@68.05 frag@80.05 loss@229.1 frag@69.04 frag@110.06 frag@107.06 frag@108.04 frag@94.06 frag@96.04 loss@221.04 frag@92.05 frag@54.03 frag@94.07 frag@135.0 frag@42.03 loss@214.05 loss@119.02 frag@140.08 loss@122.01 loss@288.16,0.3150049746 0.1123459041 0.08241080493 0.07217921317 0.03921408951 0.02891661227 0.02771614119 0.02748710476 0.02137112059 0.0153493993 0.01398806926 0.009712676518 0.00709606614 0.006062644534 0.006032181904 0.005954421591 0.005762313493 0.005278092343 0.005276517477 0.00444348529
14,loss@150.05 frag@69.0 loss@120.04 loss@124.04 loss@40.01 loss@136.04 loss@82.04 loss@93.03 frag@68.01 frag@276.18 frag@69.01 loss@58.01 frag@150.02 loss@84.02 frag@78.49 loss@54.05 loss@93.0 loss@108.02 loss@41.04 frag@297.08,0.1924292594 0.1661175787 0.1602841765 0.07893914729 0.06055984274 0.05196866021 0.0223908443 0.01001014002 0.009063039906 0.008704992011 0.007400382776 0.006920522545 0.006175425369 0.004913121928 0.00481227506 0.004497746006 0.003914975561 0.003464952111 0.003337122034 0.003115625586
15,frag@202.1 frag@178.07 loss@269.1 frag@231.02 loss@239.12 frag@463.24 loss@158.12 loss@154.11 frag@186.07 loss@173.1 loss@321.11 frag@151.07 loss@153.08 frag@158.05 frag@110.02 loss@229.0 loss@278.07 frag@211.01 frag@302.09 loss@341.15,0.356074512 0.3539472818 0.07408299297 0.0738222599 0.007087439764 0.00699058082 0.006871669553 0.004359426443 0.003113610437 0.002955279313 0.002860661596 0.002486976562 0.002240930684 0.00210688659 0.002006388735 0.001940262853 0.001884524012 0.001624829485 0.001478012418 0.00147556758
16,frag@184.01 frag@228.08 frag@239.04 frag@215.06 loss@221.16 frag@60.06 loss@206.01 loss@277.05 loss@235.01 frag@281.09 loss@207.02 loss@301.09 loss@144.11 frag@152.09 frag@140.06 loss@284.14 frag@194.11 frag@218.13 loss@244.99 frag@186.02,0.06470556557 0.03779486567 0.01970354468 0.01851380803 0.01844344288 0.01833275147 0.01359836757 0.01245591324 0.01156549901 0.008846728131 0.008634611033 0.008595543914 0.007550168782 0.006634189282 0.006471337285 0.006030056626 0.005828548688 0.005518727005 0.00487708021 0.00485666981
17,loss@217.07 loss@188.04 loss@247.08 loss@227.09 loss@206.03 loss@116.04 loss@268.05 loss@200.09 loss@188.06 loss@326.09 loss@249.08 frag@104.03 loss@213.05 loss@195.02 loss@211.05 loss@287.1 loss@263.09 frag@92.03 loss@171.03 loss@216.14,0.1628908068 0.06616544724 0.05821720511 0.04021588713 0.02701342292 0.02256046608 0.02172426507 0.01954383031 0.0143347811 0.014206714 0.01162595395 0.0109025389 0.009730936959 0.009599442594 0.009232609533 0.008888979442 0.008155072108 0.007734118029 0.007544683293 0.007517384365
18,loss@165.04 frag@150.04 frag@149.03 frag@194.01 frag@142.01 frag@152.98 loss@167.14 loss@103.99 frag@149.02 loss@148.02 frag@106.03 loss@147.04 loss@202.02 loss@294.0 loss@224.03 frag@95.04 loss@163.03 loss@89.98 frag@152.07 loss@209.99,0.2541001439 0.2419288754 0.209740296 0.07639808208 0.04840755463 0.04582418874 0.03469023854 0.01316050161 0.01006280165 0.003015269758 0.002172718523 0.002090573078 0.001949148835 0.001684208401 0.001362577081 0.00116001931 0.001157798921 0.001047204831 0.0009993623244 0.0009493170655
19,loss@250.18 loss@262.09 frag@68.04 loss@162.13 loss@306.06 frag@233.04 loss@145.13 loss@223.16 frag@206.09 frag@214.12 loss@263.17 loss@338.15 loss@197.18 loss@344.1 frag@289.2 frag@455.32 loss@235.01 loss@313.09 loss@329.15 loss@687.36,0.07888334244 0.02277139202 0.02063488029 0.01569823176 0.01425787155 0.008002053015 0.006936251186 0.006645922083 0.005977267399 0.005925267935 0.005471778102 0.004881858826 0.00447472604 0.004412954208 0.004115994088 0.003975669853 0.003921490628 0.003881889395 0.00366226933 0.003661678871
20,loss@207.1 loss@205.09 loss@232.07 loss@237.11 loss@235.11 loss@254.08 loss@287.13 loss@247.1 loss@346.11 loss@222.14 loss@235.1 loss@206.11 loss@234.14 loss@209.11 loss@234.11 loss@231.03 loss@185.12 loss@193.11 loss@238.1 loss@245.09,0.3046935201 0.1925313622 0.1156735346 0.1061933562 0.0888767615 0.02104555443 0.01066484023 0.005269679241 0.003708602162 0.003639417933 0.003591642482 0.003551539266 0.003394181142 0.003291410161 0.003134114901 0.003028876614 0.003016878385 0.002984194085 0.002851369558 0.002694108291
