epoch,reconstruction,kl,seconds
1,6266.439859265479,1.1971512202904604,6.782851879999953
2,6092.910448306075,15.827958922519862,5.7971462349999
3,5919.965012594918,36.43444505138932,5.779918560999931
4,5861.355121933411,37.200956291127426,5.788376181000103
5,5787.7844078563085,45.76078678737177,5.7859452519999195
6,5749.855537200642,45.27750189950533,5.790861887999881
7,5732.452778183411,45.910009152421324,5.786605218999966
8,5718.709180600175,49.557845677170796,5.783884540000145
9,5689.2834358571845,51.705013952522634,5.874212197999896
10,5664.905684141355,54.05115063390999,5.97492696900008
11,5650.9704886463205,54.478349382632246,5.951745931000005
12,5638.545551620911,54.45621426306038,5.946551542000179
13,5634.539194837909,55.279815745130875,5.953239304000135
14,5618.062997408002,59.27910072112752,5.87003820200016
15,5596.230286214954,61.37271791975075,5.784869512000114
16,5592.275869779498,62.38620230416271,5.7873055029999705
17,5574.7790550160635,63.23028592974226,5.786355927999921
18,5565.047399788259,65.26833368461823,5.803106995000007
19,5534.373484959112,69.83267878594799,5.775880520999863
20,5508.164281542056,72.8711761046793,5.770138661999908
21,5478.697397962909,75.6896120588356,5.7894862330001615
22,5452.160119742991,76.82757432884145,5.77968771299993
23,5431.664820020444,78.22370575521595,5.791516321000017
24,5414.139940493575,81.15586503643856,5.773259011999926
25,5391.618506315713,83.18246246052679,5.794793948999995
26,5373.864203051986,84.15414286105432,5.792878021999968
27,5356.396155811916,85.71347323979172,5.7797261270000035
28,5342.084034572138,87.86478759195202,5.7938562609999735
29,5326.442177460573,89.63026734824493,5.793930232000093
30,5301.314996166764,92.01371800788095,5.800943091999898
31,5284.138868100175,94.58257871253468,5.803215220000084
32,5265.493492625584,97.7647214515187,5.797493571000132
33,5245.765054577979,100.29623790990526,5.95210863300008
34,5222.893440603096,102.83343855242863,5.918339872999923
35,5204.016241055782,105.74013005907291,5.946949872000005
36,5186.446083710573,108.27763758864359,5.934408104999875
37,5168.066118757301,110.66114479136245,5.923527788999991
38,5151.742228570385,112.97204425847418,5.954292453999869
39,5135.391168041764,115.39187294077651,5.904066890999957
40,5116.432430089077,118.34195145936769,5.772756929000025
41,5106.557256680782,121.23091104097456,5.7644759429999795
42,5087.175726489486,124.06841377900025,5.757237858000053
43,5075.232522269275,126.66077972126898,5.747944694999887
44,5052.348696699766,129.4451007308247,5.748957637999865
45,5042.7292594553155,131.55164151771046,5.764859204999993
46,5022.837598568925,134.15486743962654,5.760112952999862
47,5014.772835134346,136.67292971031688,5.752993858000082
48,5000.688184506425,139.29603348491347,5.764001790000066
49,4985.997211777161,141.55650514977,5.753491126999961
50,4972.977237879673,144.1970511463201,5.753838823000024
51,4958.438102365654,146.38322833765332,5.778325096999879
52,4943.910685601635,148.44484204443816,5.755060606999905
53,4932.782856308411,151.27729198420158,5.766633919000014
54,4922.916056695385,153.35100833500658,5.741408953000018
55,4915.183926876461,155.53635670314324,5.757105987999921
56,4903.735798773365,157.54263533832872,5.763618709999946
57,4889.8049019786795,159.37533298385478,5.785287580000158
58,4880.388160776869,161.25399152809214,5.777491866999981
59,4874.098254052278,163.2375973139968,5.765192522999996
60,4865.8029671071845,164.7286184435693,5.761409477999905
61,4854.65685692903,166.4914281256845,5.751756913999998
62,4843.936628395152,168.59527359721815,5.746005970000169
63,4841.332670122663,170.24792851243063,5.746421918000124
64,4832.655729775117,172.19525617082542,5.75849481399996
65,4819.613847108645,173.6905061240508,5.766581395999992
66,4815.8811103606895,175.16877603976525,5.759310163000009
67,4807.564001350759,176.92650169301257,5.767658816999983
68,4802.008214077103,178.3003040919794,5.770730260999926
69,4792.193496276285,179.84790723568926,5.750052034000191
70,4789.75720557097,181.39513946247993,5.772374861999879
71,4792.235990435163,182.51037226881937,5.744943200999842
72,4775.06183374708,183.84354265159536,5.763903449999816
73,4765.068272670853,184.77763323917569,5.767926962000047
74,4761.404830790012,186.39691974960755,5.767105527000012
75,4759.016683703271,188.03098033298957,5.769827869999972
76,4753.866083162968,189.6143256927205,5.766490384999997
77,4748.283038843458,191.021769158194,5.74627766399999
78,4740.493291837032,192.40856833769897,5.742945985000006
79,4735.833071699766,194.10211794844298,5.736563889000081
80,4730.5158805490655,195.7106880829713,5.752784326999972
81,4724.820746020736,197.18094513795086,5.74129741999991
82,4721.874178592289,198.16895401143583,5.748556620000045
83,4714.861022378796,199.8263833589643,5.752665474999958
84,4706.561044283002,200.93782514055198,5.758274097999902
85,4705.766136098131,202.56310921071847,5.7620811750000485
86,4702.95373192903,203.2115638233791,5.753906110999878
87,4696.818792895736,204.63294341185383,5.771189279999817
