epoch,reconstruction,kl,seconds
1,6225.374429577979,1.1673176032360468,6.523690023997915
2,6055.576368100175,14.532203665403562,5.85087285899499
3,5885.704594407126,38.41220738063349,5.82692912199127
4,5810.727808301694,40.664737915324274,5.828591390003567
5,5770.2106819509345,42.666358555588765,5.839436872003716
6,5727.795925817757,49.31733019106856,5.859156235004775
7,5681.588447356892,52.004960710757246,5.845710509995115
8,5669.684159608645,51.47202176245573,5.868972618991393
9,5656.301881023656,51.76642580121477,5.844739499996649
10,5649.62591723861,52.18011321308457,5.849659222003538
11,5640.965733608353,54.082941536591434,5.857486027001869
12,5620.497581410631,56.90589851308092,5.836616333006532
13,5610.169629818925,58.659261507408644,5.848855885997182
14,5598.640310127044,60.937998263635365,5.857154044992058
15,5583.952623028622,62.30408388654762,5.834413674994721
16,5581.811003212617,63.93358415977977,5.847215984002105
17,5545.588223751461,68.55866712053245,5.8396805730008055
18,5524.997476452979,69.50539925833729,5.864605284994468
19,5504.771352037091,69.6924446676379,5.879951772003551
20,5492.3205634856895,71.70166742913077,5.849889253004221
21,5471.755293516355,73.2369601525993,5.841419830001541
22,5451.663190895152,74.18656051493137,5.858991020999383
23,5437.557256680782,74.96831569493374,5.855697606006288
24,5430.418639566296,75.98763824177679,5.871935454008053
25,5415.755654023073,77.84825419488354,5.83025953201286
26,5401.999164902161,79.43475491532655,5.854014372001984
27,5386.136025116823,80.74268640536015,5.869348391002859
28,5373.493196006133,82.86711113475194,5.842922594994889
29,5359.2590491749415,84.30234570369542,5.857317494999734
30,5337.830858462325,85.8188475136445,5.849457336997148
31,5326.764593676986,87.29600824373905,5.851673957004095
32,5313.148442063376,89.23908604416891,5.861026949001825
33,5299.3542366384345,90.80377639342692,5.86513658700278
34,5281.583450459988,92.79203368570202,5.871720658004051
35,5267.304701190128,94.72187847957433,5.8621597419987665
36,5254.6345283294395,96.79800956939982,5.8605672489939025
37,5236.335357951227,99.97172624819747,5.873401374003151
38,5220.163889091706,103.10903495717271,5.846337662005681
39,5202.128801292348,105.70005655734339,5.851852139996481
40,5183.105988974883,108.08108648852767,5.838418318991899
41,5172.658244195385,110.90955730687791,5.858560247987043
42,5152.5055855724295,113.35288987204294,5.846115403997828
43,5140.927296290888,116.20676265253086,5.869040073012002
44,5117.466148875584,118.88244094135605,5.8523440190037945
45,5107.544725649825,120.77789919844298,5.847766564009362
46,5085.579224773656,123.93234552401249,5.850196512998082
47,5078.0622718311915,126.51289018292293,5.8592726640054025
48,5059.6259765625,129.2690749123832,5.862243449999369
49,5043.902170341706,130.93090028851947,5.873362024998642
50,5030.932512229848,133.04747879170927,5.8901861689955695
51,5016.401695750584,134.67687496292257,5.844096792003256
52,5002.203686295269,136.2913085367078,5.851963811001042
53,4993.072648948598,137.9038111606491,5.863405773998238
54,4983.329640040888,139.83761511116384,5.873418296003365
55,4975.734676182827,141.87841112368574,5.833757368003717
56,4964.596255293516,143.80251390688886,5.854391490996932
57,4951.719703745619,145.44122100544868,5.851495769995381
58,4942.007789683119,147.3558110032126,5.858230678000837
59,4935.229487624124,149.39804533486054,5.8542694820062025
60,4925.696891428154,151.2178900888033,5.863417611006298
61,4915.99499853972,152.76923676963165,5.855683048008359
62,4904.758099992699,155.45993526850904,5.867839680999168
63,4902.04638671875,156.98687245021355,5.855484087005607
64,4892.09411963347,159.11476406204366,5.86684079200495
65,4878.501797970211,160.9124785806531,5.854810610006098
66,4874.051753249124,162.33369773793444,5.85431224599597
67,4865.03167895736,163.86156542056074,5.873016944999108
68,4858.6955269786795,165.6165553297952,5.853933335005422
69,4849.009619596963,167.87643076103424,5.856281885993667
70,4844.680677752628,169.48502770539756,5.8541109719953965
71,4845.94402562792,171.68879514319875,5.870150183996884
72,4827.144941953855,173.27067352009712,5.848621103999903
73,4815.879985488464,174.21992977534498,5.829263040999649
74,4810.846159462617,176.20377784800306,5.862838442000793
75,4808.424453307535,177.35722778890735,5.855966902003274
76,4802.017372773073,179.08288189183887,5.840463181011728
77,4796.822607878213,180.0289577591085,5.8308109210047405
