topic_id,top_words,top_probabilities
0,loss@79.93 loss@78.92 loss@121.07 frag@211.07 loss@107.92 frag@220.09 frag@255.06 frag@281.1 frag@120.02 frag@194.07 frag@223.97 frag@299.03 frag@280.09 frag@297.09 loss@228.04 loss@134.96 frag@250.06 loss@285.03 frag@114.03 frag@125.05,0.07701358199 0.06715060025 0.0572360009 0.05035174638 0.04751891643 0.02118322439 0.01871442795 0.009353654459 0.007876788266 0.005030305125 0.004495604429 0.004267900251 0.004064908717 0.003680074122 0.003581231926 0.003472500714 0.003261364996 0.003224878106 0.00314689707 0.003036294598
1,frag@200.03 loss@210.12 frag@305.13 frag@365.14 loss@381.12 frag@350.19 frag@163.99 frag@235.09 loss@233.05 loss@410.06 loss@193.13 frag@215.08 loss@238.08 loss@112.06 frag@74.01 loss@135.09 frag@170.1 loss@238.15 loss@149.06 loss@0.03,0.1658732146 0.1107654497 0.06639672816 0.0222903043 0.01626613922 0.01242824737 0.006483511534 0.005070910789 0.004575742409 0.003824656364 0.003312512534 0.002870450728 0.002622485859 0.002589696785 0.002498159185 0.002429119078 0.002323041903 0.002287877724 0.002250910737 0.002238956746
2,loss@190.09 frag@165.11 loss@164.11 frag@136.09 frag@149.08 loss@192.1 frag@191.13 frag@163.1 loss@233.16 frag@122.07 loss@152.11 frag@134.07 frag@154.08 loss@204.11 frag@209.09 loss@165.12 loss@166.12 loss@191.08 frag@300.18 frag@148.09,0.06513116509 0.06511127204 0.05679616705 0.05618255213 0.05392028764 0.04088752717 0.03665510565 0.02723906375 0.01574736461 0.0107751023 0.00816738978 0.007995975204 0.007577476557 0.007563186809 0.006709437817 0.006555131637 0.00649168808 0.006326424889 0.006102625281 0.005926015321
3,loss@246.08 loss@185.02 frag@125.0 frag@150.0 loss@139.01 loss@156.04 frag@259.04 loss@301.03 loss@167.04 frag@157.01 frag@97.01 frag@218.14 loss@230.03 frag@99.03 frag@164.08 loss@244.95 frag@189.06 frag@135.1 frag@194.09 frag@276.13,0.1311489493 0.1050920933 0.08247373998 0.0379679054 0.01547920704 0.01533825323 0.009297255427 0.008885595948 0.008654394187 0.008250343613 0.007804295048 0.00679299375 0.006169669796 0.005238214042 0.005210127216 0.005009280518 0.004795895889 0.004685418215 0.0046714372 0.004570812918
4,frag@191.03 loss@148.02 frag@163.03 loss@190.02 loss@111.14 frag@122.01 frag@155.07 loss@177.97 loss@234.17 frag@308.12 loss@164.04 loss@138.04 loss@146.07 loss@168.04 loss@178.08 loss@240.04 loss@179.0 loss@155.03 loss@254.17 loss@131.11,0.3107943237 0.05476011336 0.05173008889 0.01781938039 0.01666073874 0.007164662704 0.005009483546 0.004975970834 0.004902919754 0.004534787964 0.004498397466 0.003840613412 0.003792884992 0.003734977916 0.00370356231 0.003699633293 0.003503215034 0.002651917981 0.002499256283 0.002423837548
5,frag@177.05 loss@176.04 loss@120.02 loss@173.1 frag@150.04 loss@341.03 loss@165.04 loss@113.06 loss@167.08 loss@147.04 loss@148.02 loss@147.08 loss@158.03 frag@118.04 frag@162.03 loss@350.13 loss@342.13 loss@179.04 loss@161.05 frag@163.03,0.3619268239 0.1483062804 0.007764688693 0.006260568742 0.004515300505 0.004346657544 0.00414888747 0.003900921671 0.003588820342 0.003331633518 0.003290624125 0.003056300338 0.003033829154 0.002938115736 0.002691570437 0.002611218486 0.002495250432 0.002440268407 0.002367693232 0.002312651835
6,loss@208.03 loss@260.14 frag@97.01 loss@324.16 loss@267.98 frag@254.11 loss@264.99 loss@349.03 loss@345.08 frag@221.1 frag@99.04 frag@118.92 frag@163.03 frag@194.09 frag@139.04 frag@130.97 frag@56.96 frag@214.11 frag@228.99 frag@321.1,0.08871690184 0.06161548197 0.05611412972 0.04316066206 0.01653510146 0.01405337173 0.01346133091 0.01256959792 0.008765396662 0.007314017974 0.00681227725 0.006390217226 0.006263222545 0.005859199911 0.005565459374 0.005193594843 0.004867115058 0.004647434689 0.004643753637 0.004425082356
7,frag@240.06 loss@187.01 frag@157.96 loss@144.05 loss@152.07 loss@117.07 frag@160.04 frag@293.09 loss@338.99 frag@138.01 frag@258.04 loss@240.06 loss@186.04 frag@160.05 loss@116.06 loss@212.06 loss@184.02 loss@285.13 frag@223.03 frag@187.98,0.1084350646 0.05129390582 0.04621519893 0.01045747101 0.004430529661 0.004337412771 0.003976269159 0.003938367125 0.003768475726 0.003394129686 0.002987661632 0.002925428795 0.002867180156 0.00281069451 0.00264104642 0.00243943627 0.002193149878 0.002086855005 0.001909061451 0.001909038634
8,frag@174.09 loss@267.11 frag@159.07 frag@146.1 loss@279.15 loss@309.1 loss@344.17 frag@190.09 frag@204.1 loss@185.01 loss@215.12 frag@131.07 loss@300.07 frag@145.09 frag@132.08 frag@144.08 loss@188.1 loss@247.96 loss@275.05 loss@230.14,0.2964192033 0.01437050384 0.008440533653 0.008273188025 0.006255886052 0.00602015527 0.005720287096 0.00497819623 0.004920377396 0.004522996489 0.00449360162 0.004041964654 0.003926869482 0.003600995289 0.003109201323 0.003080357565 0.003071516519 0.002966727596 0.002939016093 0.002914801706
9,loss@146.07 frag@132.1 loss@160.02 frag@201.95 frag@269.1 loss@176.0 frag@176.11 frag@164.02 frag@172.97 loss@198.97 frag@224.04 frag@159.08 frag@240.12 frag@167.03 frag@103.06 frag@130.08 frag@40.9 loss@391.12 loss@171.08 frag@336.08,0.2289181352 0.06749034673 0.04408148676 0.03855552524 0.02521868423 0.01362729073 0.007781317923 0.00504843425 0.004276365042 0.003880497068 0.003789990442 0.003745974973 0.00364995678 0.003549501067 0.003533864161 0.003489184426 0.003479730338 0.002933561802 0.002725984436 0.002462873701
