topic_id,top_words,top_probabilities
11,loss@240.14 frag@206.03 frag@230.13 loss@241.13 loss@143.02 frag@230.06 loss@242.03 frag@212.04 frag@118.92 loss@192.01 frag@248.07 frag@321.12 loss@337.17 loss@240.17 loss@304.17 frag@229.11 frag@152.09 frag@252.12 loss@62.07 loss@314.11,0.09003334492 0.07286132872 0.07077934593 0.06114766002 0.05591513589 0.05575991794 0.05561179668 0.05420556292 0.03827472031 0.03778813407 0.03398612514 0.03334692866 0.03216017038 0.03104491904 0.01498743705 0.01075562742 0.01020771544 0.009798426181 0.009438621812 0.008432066068
12,frag@154.03 loss@217.04 loss@203.07 frag@118.05 loss@161.07 frag@131.06 frag@132.07 frag@133.08 frag@160.09 loss@195.04 frag@146.08 loss@212.07 frag@125.02 loss@253.06 loss@190.03 loss@197.05 frag@121.08 loss@164.07 frag@105.06 loss@142.01,0.1575408429 0.1357692182 0.09670472145 0.07345596701 0.03969854861 0.03773059323 0.03497809172 0.02366713062 0.01701791584 0.01350541133 0.01285582129 0.01164219249 0.009204489179 0.009126540273 0.007620507386 0.007244467735 0.006621890236 0.006525498349 0.006494151894 0.006031261757
13,frag@42.03 frag@68.05 frag@80.05 frag@94.06 loss@222.08 loss@226.05 loss@288.16 loss@166.11 loss@260.07 frag@54.03 loss@273.05 loss@196.06 loss@221.04 frag@108.04 frag@107.06 loss@204.01 loss@206.05 loss@259.09 frag@135.06 frag@69.04,0.113246195 0.07478666306 0.06985044479 0.06876856834 0.06243096665 0.03822342306 0.02295741253 0.01869235374 0.01667430997 0.01465670299 0.01349300705 0.01314702351 0.01274952106 0.01214808784 0.01198131405 0.01103503257 0.01092885528 0.009978415444 0.00963271223 0.009157354012
14,loss@146.11 frag@240.07 frag@88.04 loss@211.16 loss@186.11 loss@285.16 frag@155.15 loss@283.03 frag@55.03 frag@162.13 frag@219.14 frag@181.13 frag@258.11 frag@297.12 frag@259.15 frag@145.02 frag@188.03 frag@127.07 loss@470.15 frag@249.2,0.160238117 0.08931625634 0.08435544372 0.08136565983 0.06148858368 0.05575825647 0.05234008655 0.04618547112 0.02709250525 0.02473514527 0.01348387729 0.008374509402 0.007401897572 0.006515155546 0.004826172255 0.004769112915 0.004692726303 0.004183157813 0.004073901102 0.004068469163
15,loss@171.08 frag@178.07 frag@310.12 loss@236.11 frag@188.95 frag@223.1 frag@271.09 frag@186.08 frag@169.04 loss@150.1 frag@158.05 frag@198.1 frag@203.02 loss@185.03 loss@198.07 frag@169.06 loss@106.04 loss@173.1 loss@117.02 frag@223.05,0.4052912891 0.3185714483 0.05063383281 0.01552662812 0.01296438091 0.01229272597 0.008887705393 0.007175565232 0.007021834143 0.005886805244 0.004500579555 0.004401202314 0.004299498629 0.003810178023 0.00303278584 0.00264267507 0.002399282064 0.002003238304 0.001951419399 0.0018542381
16,frag@204.09 frag@263.07 frag@184.07 frag@271.1 loss@270.08 loss@244.18 loss@163.12 loss@159.14 frag@251.13 loss@64.05 loss@86.0 frag@208.06 loss@366.92 loss@342.12 loss@108.11 loss@362.17 loss@93.0 loss@100.11 loss@234.03 frag@239.11,0.1533295512 0.04725655541 0.04538884014 0.04235775396 0.01748415269 0.01598056033 0.01408131793 0.01233867276 0.00844986178 0.007324559614 0.007162560709 0.006851082202 0.006698945072 0.006657408085 0.006579934619 0.006392910145 0.006185510196 0.006134998519 0.006113575306 0.005689266138
17,frag@103.05 loss@217.09 loss@214.09 frag@104.06 loss@231.09 frag@133.07 frag@148.1 frag@133.06 frag@115.05 loss@204.1 loss@286.13 frag@281.14 loss@176.08 loss@348.05 loss@179.07 frag@132.08 frag@104.05 frag@131.05 loss@146.04 loss@131.07,0.449647069 0.3451302648 0.105821833 0.009160446003 0.008033086546 0.004919111263 0.004266557284 0.003675772343 0.003480250714 0.003244818887 0.003142461879 0.002847386757 0.002642727457 0.002470176434 0.002229588805 0.002017713618 0.00172822352 0.001464378904 0.001400592388 0.001294279238
18,frag@149.03 loss@315.13 loss@273.06 frag@150.04 frag@149.02 loss@211.98 loss@167.14 frag@66.05 loss@276.05 loss@79.04 loss@245.0 frag@221.15 frag@193.02 frag@161.94 loss@273.13 loss@270.05 frag@168.12 loss@279.13 loss@294.08 frag@103.02,0.08269457519 0.03433987871 0.02739002369 0.02692892589 0.02456552535 0.01199155208 0.0113066528 0.01056556124 0.009235378355 0.008464939892 0.007520872634 0.007104539312 0.006869531702 0.006821990479 0.006676137447 0.006322274916 0.006292676553 0.006010177545 0.005752715748 0.005524927285
19,frag@102.97 loss@229.06 loss@271.07 loss@292.09 frag@203.11 frag@224.07 frag@162.06 frag@181.11 frag@143.99 frag@154.0 loss@270.05 loss@266.12 loss@278.14 loss@131.02 frag@170.04 loss@202.99 loss@179.08 frag@179.09 frag@220.02 loss@283.06,0.2822415829 0.1458341479 0.1364245862 0.1320844442 0.04834495485 0.02719051205 0.02096016705 0.01792499796 0.009386248887 0.006878858432 0.004940374754 0.003406322328 0.003326574108 0.002510644263 0.00228367676 0.001947297249 0.001914792228 0.001911771949 0.001853733906 0.001805028995
20,frag@94.06 loss@211.11 loss@251.08 frag@120.04 loss@245.09 loss@254.08 frag@122.06 frag@110.06 loss@261.15 loss@198.08 frag@126.05 loss@222.14 loss@207.1 loss@235.11 loss@249.11 loss@199.05 frag@148.08 loss@232.0 frag@135.06 loss@232.07,0.3112037182 0.1065004915 0.05108039454 0.0498602055 0.04356689006 0.02771631256 0.01576353982 0.01230273396 0.01214075927 0.01170164999 0.007660857402 0.007387778256 0.006854526233 0.00679919403 0.00678058248 0.006601168308 0.00633007288 0.00629315665 0.005409964826 0.005246393848
