model,parameter_count,complexity_rank,validation_nll_mean,validation_nll_sd,test_nll_mean,test_nll_sd,mean_topic_cosine_mean,mean_topic_cosine_sd,anchor_recall_mean,anchor_recall_sd,recovered_fraction_mean,recovered_fraction_sd,theta_cosine_mean,theta_cosine_sd,validation_active_fraction_mean,validation_active_fraction_sd,sparse_test_nll_mean,chimeric_test_nll_mean,shifted_test_nll_mean,fitting_seconds_mean,fitting_seconds_sd
pooled_shared_none,2176,1,4.890870674752721,0.037591615871396464,4.83320138350777,0.03673955075752498,0.7103158473910298,0.07205932291089821,0.697265625,0.08562621178430857,0.7395833333333334,0.13258252147247765,0.7528645694255829,0.0899028103558604,0.6875,0.04419417382415922,4.88242977463846,5.34370104843453,5.282779301058133,2.349825404500166,0.0768480036477863
pooled_projected_none,6272,3,4.358919529549226,0.031030039550477877,4.364678920399059,0.03354468539241381,0.9033748538931832,0.02951480224233529,0.9147135416666667,0.032224918413449405,0.9375,0.029462782549439532,0.9063317477703094,0.027184000793101966,0.796875,0.02209708691207961,4.423426380220228,4.948100545085334,5.001690894135745,3.163558556999874,0.24187736499006435
pooled_projected_mi_weak,6272,4,4.347697008759946,0.029749307463903182,4.3544604546467784,0.029451058995384995,0.9117427390689652,0.03543533913396308,0.9231770833333333,0.0441941738241593,0.9583333333333333,0.029462782549439452,0.9234832227230072,0.027984875208505972,0.8359375,0.03314563036811941,4.4177634988184735,4.959257878513817,5.01024574291338,3.9655342454999527,0.47841254036962505
pooled_untied_none,4352,5,4.783597819145367,0.001812456995769065,4.737692276322637,0.0027993315295389218,0.8085994897410274,0.002575769085339858,0.7942708333333334,0.007365695637359922,0.8020833333333333,0.014731391274719766,0.8112532794475555,0.026534686444943133,0.734375,0.02209708691207961,4.786723397828693,5.2604785978976,5.200436885380919,2.3674896670000862,0.15478366621854517
m1_current_like,14464,9,4.500500721778374,0.010581747550585802,4.496319346873971,0.004349701541752077,0.8591260332226132,0.03554422952323668,0.8821614583333334,0.03774919014146939,0.8958333333333333,0.029462782549439452,0.90581414103508,0.024324252827940783,0.953125,0.02209708691207961,4.584612762617239,5.036588686680279,5.173409316497226,15.902067906999946,8.624011581061625
