epoch,reconstruction,kl,seconds
1,6224.2463721159465,1.5452442983879107,41.16303362499457
2,6059.24181786653,12.744349002838135,43.43663004192058
3,5899.181727329147,37.86747697134999,41.96001799998339
4,5798.36376953125,43.38249894614532,42.592053874977864
5,5757.494542202103,43.87886799607322,44.80430270801298
6,5735.779319691881,44.0466478650815,43.126896875095554
7,5705.957501277745,48.822779610892326,41.78746133390814
8,5673.601658330899,50.866905889778494,42.47818762506358
9,5655.011800890771,50.40127060792157,42.01926537498366
10,5645.905291691005,50.56037646142122,41.76399645791389
11,5636.406578563084,52.29857182725568,44.6554664169671
12,5607.3533011463205,58.59238383925964,46.42944812506903
13,5579.117716851635,62.113307774623976,43.902563333977014
14,5562.376314252337,63.26292358826254,42.872433249955066
15,5544.421007958528,65.02646583485826,41.89172029204201
16,5541.366845246787,65.67054573843413,42.72951941599604
17,5521.813430928738,67.36418440631617,46.199418875039555
18,5511.580967983353,68.64415234717254,43.527436750009656
19,5491.92810400847,70.3255533949237,42.05439983296674
20,5480.148802570094,72.18254395957305,43.089051124989055
21,5460.649852146612,73.95769215521412,43.986635499983095
22,5441.978784864194,75.2684881620318,43.719016082934104
23,5425.722747517523,77.35775935092819,45.0160803750623
24,5416.122179833528,78.73576469064874,45.60740983299911
25,5402.262229848131,80.15650576297368,46.36111758404877
26,5388.089487806659,81.62534981130439,46.1952600000659
27,5374.140246239778,82.4646393250082,45.03099045797717
28,5365.904497663551,83.42981170939508,43.733836916973814
29,5354.395065165012,84.44943301477164,46.30358912504744
30,5335.480523510514,85.39627039543936,45.8216283749789
31,5326.6291481089365,86.60100655243775,44.50916012504604
32,5315.427177643108,88.62868884790724,49.69258858298417
33,5301.775048371787,90.1868640507493,50.85297091701068
34,5284.939567209404,92.12040810273072,48.29506787494756
35,5270.71593896028,94.32114403270116,47.21665566600859
36,5258.433525299358,96.51037947039738,47.232792041962966
37,5244.8684059214365,98.04144508147908,50.24456108408049
38,5232.518687025409,99.75173151604483,46.359673458035104
39,5219.039851964077,101.65258432548737,48.522561667021364
40,5203.5242041471965,103.59976424457871,45.65796575008426
41,5195.676598094334,106.29960033381097,46.09615770902019
42,5178.261814580899,108.48676670823141,50.860631708055735
43,5168.412068304615,110.84492478415231,45.93187437497545
44,5147.00597802278,113.30903154890115,46.42116870894097
45,5139.419465537383,115.38034143180491,46.48798208392691
46,5119.430773583528,118.15234132570642,46.65176745806821
47,5112.727580132885,120.58045082448798,45.10195462498814
48,5096.6306129526865,123.48500595805801,47.38562237494625
49,5081.446416837032,126.408434003313,48.124786583008245
50,5066.618451555199,128.852634180372,45.064730250043795
51,5050.331488208236,131.3063054307599,45.83617129200138
52,5036.370997919101,133.01043579957195,46.020933166961186
53,5024.062705351927,135.42386498852312,45.564048458007164
54,5012.350166106892,137.99537373480396,45.29979841702152
55,5004.26287328417,140.26186677451446,49.05788954091258
56,4992.27306786653,142.3499835718458,45.51290058391169
57,4977.451149058119,144.41036131671655,49.14771683292929
58,4966.316479264019,146.2384823237624,45.183473041979596
59,4959.832218348423,148.3020502963913,46.33982637501322
60,4948.576559761975,150.0360920273255,52.33855391701218
61,4938.818204220211,151.45437308338202,47.68416020798031
62,4928.210850795853,153.1812930953837,46.15720849996433
63,4925.907103351344,154.04169314375548,47.629936999990605
64,4916.134300160631,155.8126520174686,47.28671804093756
65,4903.241872627044,156.80929850640698,46.72602874995209
66,4898.866676401869,158.57490696416838,45.52765495807398
67,4890.042028694509,159.99230286785377,47.30425854201894
68,4882.711494231892,161.40320836717837,50.77025820908602
69,4873.305946991823,163.24219163555966,49.7568011659896
70,4870.299293589369,164.56382993894204,46.08866000000853
71,4872.767290632301,166.42372416558666,46.570926167070866
72,4855.110753139603,167.7873509487259,46.53035141702276
73,4843.689998448452,169.25484573506864,45.35149108397309
74,4839.630393910631,170.94060252537238,44.92499199998565
75,4836.767872462763,172.29084991740288,45.51961474993732
76,4831.008638471087,173.81811737345757,45.286615541088395
77,4825.329521393108,174.83704625780337,44.98319012497086
78,4816.669301255841,176.29891397351417,45.37435108295176
79,4812.03070239486,177.57756940895152,44.98934733308852
80,4806.460467472255,178.73307400997555,45.33066033292562
81,4802.330767194801,179.85205448899313,45.21126437501516
82,4799.864860178154,180.62853675913587,45.07102195790503
83,4794.67632885514,181.70411368396796,44.92881395900622
84,4784.4536018728095,182.99029455452322,44.92261062504258
85,4782.979528694509,184.35597428651613,44.75816737499554
86,4780.532696590245,185.8482152635806,44.84464849997312
87,4775.039053373248,186.97159997102256,44.92083820793778
88,4770.733863901869,188.0569087233499,45.375265458016656
89,4766.152818341122,188.78493193154023,45.02859666699078
90,4761.229022159755,189.77965010883653,44.983920124941505
91,4756.617812682535,191.1856394259729,45.447864541900344
92,4753.765063704731,191.74210222190786,46.112051833071746
93,4751.404260367991,193.061305821499,46.02735808305442
94,4747.943879599883,193.5431254734503,47.28115437494125
95,4743.07683812792,194.5116045229903,49.185422083945014
96,4742.069527599299,195.59763913733937,48.31252533302177
97,4735.282075971087,196.61603952568268,46.333775167004205
98,4733.956615982769,197.0972110356126,45.907785959076136
99,4729.502993574766,197.6606766174887,46.851761333993636
100,4728.610315055491,198.66456090624087,47.41732641705312
101,4722.8598701263145,199.0445988735306,47.41858154197689
102,4720.2990654205605,200.01135196864047,47.46468666696455
103,4717.083692318925,200.96853323963202,45.878392999991775
104,4718.2502464223135,201.45968856098497,46.05127812502906
105,4717.02593823014,202.17547422034718,46.42067387502175
106,4709.351484922605,202.7568792895736,48.16540229204111
107,4712.746764566296,203.77395943614923,49.92974520905409
108,4712.143189617406,204.060207331292,47.270443374989554
109,4702.812919830608,205.07498539719626,45.8710061670281
110,4703.364841924649,205.60312132077797,46.95098158402834
111,4699.247622481016,206.2925051395024,46.089501334005035
112,4700.9172431731895,206.7050751302844,46.370525165926665
113,4693.2858818268105,207.8470672892633,46.31372120801825
114,4694.255302643108,208.44805893942575,47.64638295804616
115,4686.885664610105,209.19616770521503,48.08011800004169
116,4681.781281943633,209.98028336284315,45.885386583046056
117,4684.5207633615655,210.43621811911325,46.10525412496645
118,4680.780173043225,211.0326990145389,51.300127917085774
119,4681.576842691296,211.74780957943926,46.564769041957334
120,4674.864741530374,212.51917245454877,55.15134037507232
