topic_id,top_words,top_probabilities
11,frag@118.92 frag@228.09 loss@242.03 loss@240.17 loss@241.13 loss@240.14 frag@212.04 frag@230.13 frag@273.11 loss@337.17 loss@263.08 frag@281.08 frag@321.12 loss@187.13 loss@147.11 loss@304.17 frag@99.07 frag@206.03 loss@136.13 frag@325.07,0.185119316 0.1529869288 0.1125619337 0.1029606089 0.09758653492 0.05193161964 0.02358570136 0.0111051565 0.008683905005 0.008220396005 0.007861563936 0.007577010896 0.007089645136 0.007025653962 0.006644191686 0.006396064535 0.006230723578 0.004745702259 0.004660443868 0.00449729478
12,loss@201.06 frag@153.05 frag@147.05 loss@181.03 frag@123.0 loss@217.04 loss@144.01 loss@221.03 frag@106.07 frag@105.06 loss@189.05 loss@208.07 frag@162.07 loss@294.04 loss@189.07 loss@186.06 loss@160.08 frag@133.08 frag@118.05 loss@298.11,0.225357011 0.1806905419 0.1598782092 0.03870840743 0.02190096304 0.01333513204 0.01232724264 0.01218628697 0.008824308403 0.007156788372 0.006437161006 0.006406918168 0.00633457955 0.00622494705 0.006021165289 0.00454309443 0.004512191284 0.004176453222 0.004148166627 0.004142791498
13,frag@96.08 loss@263.08 frag@70.07 loss@180.13 frag@44.05 loss@275.11 loss@153.15 frag@110.1 loss@287.14 loss@271.14 loss@239.16 frag@124.11 loss@237.15 frag@98.1 loss@105.05 frag@57.06 loss@152.13 loss@168.13 loss@199.0 frag@124.08,0.2385306507 0.1006406397 0.0331511274 0.01622282341 0.01500932314 0.01339578722 0.01332591195 0.01273706928 0.01174333133 0.01127175987 0.009074448608 0.008389938623 0.008378433995 0.007987028919 0.007878267206 0.007712805644 0.007682436146 0.007064525504 0.006478033029 0.006391098257
14,frag@69.0 loss@104.05 loss@161.04 loss@150.05 loss@82.04 loss@97.03 loss@282.09 frag@190.03 frag@293.12 frag@183.03 frag@152.95 frag@255.04 frag@220.09 loss@69.03 loss@226.01 frag@78.49 loss@330.11 frag@301.07 frag@317.09 loss@179.12,0.3816871941 0.1945971847 0.1051470339 0.03074502759 0.02505068108 0.02445552126 0.02109913342 0.01215082128 0.01126735564 0.008680513129 0.00740741007 0.006068540271 0.005915137939 0.005057546776 0.004812946543 0.00433622906 0.003742322559 0.003355639055 0.003330423962 0.003277393524
15,frag@182.94 loss@162.12 frag@172.96 frag@163.12 loss@141.1 frag@180.07 loss@198.96 loss@133.09 frag@323.14 loss@115.08 loss@240.14 loss@326.07 loss@302.0 loss@249.13 loss@332.11 loss@263.07 frag@159.99 loss@183.14 loss@126.09 loss@140.09,0.2042111605 0.1577840596 0.09140660614 0.05249270052 0.05120246857 0.04835752398 0.02677336335 0.01054517645 0.008474171162 0.006355362944 0.006134368945 0.006076695863 0.006041015033 0.005746894982 0.005038214382 0.004945414141 0.00491446536 0.004100461025 0.003727427218 0.003644976299
16,frag@163.11 loss@163.12 loss@298.06 frag@253.08 loss@283.06 loss@255.02 loss@280.06 frag@224.07 loss@328.19 loss@23.05 frag@228.1 frag@182.96 frag@198.02 loss@410.06 loss@234.03 loss@354.07 frag@233.05 loss@342.12 frag@250.11 loss@143.15,0.2448271662 0.149889946 0.05682548881 0.03701865301 0.02508622594 0.02298062481 0.02169351466 0.02145495266 0.01593044028 0.006574008148 0.005234073848 0.005215930752 0.005024475977 0.004699553829 0.004647283349 0.004402276594 0.004278466105 0.004035535734 0.003445708659 0.003159644548
17,frag@105.04 loss@140.07 frag@104.05 loss@202.12 loss@194.08 loss@179.06 frag@158.05 loss@206.08 loss@180.05 loss@129.06 frag@132.04 loss@299.08 frag@105.06 frag@77.04 loss@204.09 loss@208.08 loss@208.07 loss@190.06 loss@219.05 loss@188.06,0.3171073794 0.1483990699 0.06392669678 0.04015632719 0.02720431611 0.02611960657 0.0165790692 0.01645640843 0.01338371169 0.01199449692 0.009881742299 0.008272734471 0.008014026098 0.007952858694 0.007707521785 0.006904077716 0.006808678154 0.005800779443 0.004894407466 0.004714776762
18,loss@165.04 frag@150.04 frag@149.03 loss@167.14 frag@149.02 frag@194.01 frag@152.98 loss@148.02 frag@109.01 loss@173.05 loss@294.0 loss@134.02 frag@106.03 loss@224.03 loss@84.0 loss@153.04 frag@124.02 loss@191.05 loss@350.13 loss@89.98,0.2922341526 0.1623264402 0.1472293139 0.06240160391 0.05848646909 0.05150486529 0.03234260157 0.0270321779 0.01600357518 0.006371212658 0.006084099412 0.00464304816 0.003730196506 0.003217188641 0.003086695913 0.002995859599 0.002668819623 0.002668346278 0.002213947708 0.002030185889
19,frag@224.07 loss@308.12 loss@292.09 loss@271.07 loss@266.12 loss@283.06 frag@81.03 loss@229.06 loss@269.03 frag@173.99 frag@203.11 loss@279.13 frag@163.11 frag@247.02 loss@208.99 loss@278.14 loss@248.06 frag@270.12 loss@225.03 frag@209.01,0.1590911001 0.0788558498 0.06796178222 0.05884166434 0.03578180075 0.03298669681 0.02740867622 0.02475877479 0.0158613082 0.01392072719 0.01075974107 0.005915869959 0.005610486027 0.005167521071 0.004844858777 0.004601575434 0.004151717294 0.004024933558 0.003893959802 0.003781102365
20,frag@94.06 loss@249.11 loss@251.08 loss@245.09 loss@291.1 loss@247.13 frag@135.06 frag@174.03 frag@230.12 frag@122.06 loss@152.09 frag@94.07 loss@261.15 loss@295.07 frag@121.05 loss@219.14 frag@110.06 loss@198.08 frag@120.04 loss@211.11,0.2063211352 0.1120243371 0.0535697341 0.04409569502 0.03389644623 0.03371403739 0.02987479232 0.01937829703 0.01792407967 0.01712065749 0.01608593017 0.01464811061 0.01233139448 0.01035802346 0.009412838146 0.009085786529 0.008553730324 0.008391750976 0.007817975245 0.006419824436
21,frag@182.04 loss@28.01 frag@310.13 frag@277.08 frag@171.04 loss@158.1 loss@243.16 loss@196.98 loss@115.06 loss@267.15 frag@311.13 loss@269.17 frag@286.11 loss@243.12 frag@187.07 frag@226.02 frag@167.05 loss@155.11 loss@294.06 frag@124.1,0.1056489348 0.04560386762 0.03044793755 0.02095098235 0.02050562389 0.01633637957 0.0153201716 0.01314001437 0.01284379419 0.01225413755 0.01167414151 0.0110054994 0.01062652841 0.0102648586 0.009528392926 0.009527829476 0.00802202709 0.00751321204 0.007276833989 0.007228013128
22,frag@121.04 loss@272.13 loss@219.1 frag@132.06 loss@215.11 loss@235.1 frag@135.06 loss@208.08 loss@259.13 loss@207.1 frag@121.03 loss@189.08 loss@237.09 loss@186.12 loss@246.11 loss@209.05 frag@123.06 loss@211.08 frag@106.06 frag@146.07,0.396353513 0.1009812355 0.0284232609 0.01818556525 0.01740952209 0.0138417203 0.01071358379 0.009963924065 0.009368814528 0.009055106901 0.009045985527 0.008796269074 0.008111606352 0.007910276763 0.007246220019 0.007104981691 0.006373969838 0.006281447597 0.006164609455 0.005765847862
23,frag@174.06 loss@232.09 frag@223.01 loss@269.12 frag@217.1 loss@301.11 loss@252.09 loss@260.12 frag@288.11 frag@273.11 loss@256.11 frag@147.06 frag@159.09 frag@146.06 loss@259.13 frag@210.13 loss@222.06 frag@172.11 loss@278.15 loss@260.06,0.3687268794 0.3476819694 0.0883898586 0.08694560826 0.007745023817 0.007600542158 0.004015450366 0.002593954327 0.002408328699 0.001935392036 0.001930511091 0.001881084405 0.001824580249 0.001355936169 0.001248175511 0.001127794734 0.001087123877 0.001056290115 0.001021665521 0.0009910805384
