model,formulation,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,sos_high_gt_0_8,sos_intermediate_0_6_to_0_8,sos_low_lt_0_6,associated_spectra,associated_molecules,leakage_audit_passed,completion_nll,completion_oov_fraction,median_effective_topics,mean_effective_topics,median_exact_support,p75_exact_support,p95_exact_support,fraction_support_le_3,median_max_theta,fraction_max_theta_ge_0_5,fraction_max_theta_ge_0_3,fraction_max_theta_ge_0_2,unique_top1_topics,active_topics_gt_0_0005,corpus_effective_topics,maximum_mean_topic_usage,mean_nearest_beta_cosine,maximum_beta_cosine,duplicate_topics_0_999,catastrophic_duplicate_component,training_seconds,validation_full_spectra_per_second,parameters,finite_stable,gate_optimized,gate_evaluable,gate_useful,gate_mean_sos,gate_completion_nll,gate_finite,gate_no_catastrophic_duplicate,passed_all_frozen_gates
M1,locked incumbent,884,408,265,0.6580793714074608,0.6488636363636364,79,186,143,1411,,True,8.974139925584877,0.031355544236867795,7.2008717275848095,12.11738891753681,,,,,0.40749138308063243,0.3628182051941373,0.6646952944201594,0.8431473386474673,786,649,643.0299534053804,0.025539095383205528,0.186479389667511,0.9766051173210144,0,False,1764.874561500037,,167168,True,True,True,True,True,True,True,True,True
canonical ETM,Gaussian plus softmax and raw counts,609,130,79,0.6387960987924486,0.631265664160401,15,64,51,1137,1130,True,8.69073017608276,0.031355544236867795,43.78513630580258,103.75112611719833,,,,,0.36256867361954626,0.29236307534070455,0.6117253792748779,0.7842633067626639,260,269,344.5731500039276,0.03754486090369994,0.3208776116371155,0.999518096446991,2,False,3372.4009491250035,19841.38969230237,19278000,True,False,False,False,False,True,True,True,False
balanced ETM,Gaussian plus softmax raw counts and balanced beta,911,166,104,0.6298190953455753,0.6329288472145616,19,85,62,1240,1232,True,8.766068508771959,0.031355544236867795,46.71972801725626,112.68926001383238,,,,,0.3740528432118594,0.31884803291334535,0.6060683980457702,0.7693494471586526,260,275,355.7054325020411,0.03393826980853328,0.399617075920105,0.9958288669586182,0,False,5531.022853249917,15126.51539280875,19278000,True,True,False,False,False,True,True,True,False
balanced ETM gate gamma2,detached geometry gate reference,889,220,138,0.6451478312946978,0.6425000000000001,40,98,82,877,869,True,8.686967089971247,0.031355544236867795,65.56835780704141,121.37754453861503,,,,,0.3024143897385895,0.22550784263306764,0.5042427359218308,0.674209308305477,471,514,589.3644586037232,0.01635263940283976,0.22806020081043243,0.993537962436676,0,False,5580.991065583075,16172.92710592196,19278000,True,True,False,False,False,True,True,True,False
sparse ETM candidate,Gaussian plus entmax15 and distinct-word reconstruction mass,993,7,6,0.6638529893645775,0.6862502940484592,0,6,1,2464,2436,True,9.577828788307942,0.031355544236867795,1.8026327420937216,140.6047183583988,2,789,994,0.5538698894317305,0.7718641408401028,0.6335818976600669,0.6826947801491386,0.7117510928259193,20,98,56.9813245185569,0.176485998982727,0.976412296295166,0.9973287582397461,0,False,791.3064027819969,31242.12394628435,19278000,True,True,False,False,True,False,True,True,False
