topic_id,top_words,top_probabilities
11,frag@68.05 frag@93.03 frag@53.04 frag@94.06 frag@55.02 frag@151.06 frag@122.06 frag@82.03 frag@99.06 frag@81.03 frag@110.06 loss@240.06 frag@108.04 frag@166.09 frag@69.04 frag@126.04 frag@114.0 frag@69.06 frag@124.04 frag@82.06,0.004849659279 0.004206276499 0.003904402955 0.00345031661 0.003217749763 0.002946696943 0.002886441071 0.002469519153 0.002297563944 0.002259484492 0.002081988845 0.002064871835 0.002064388711 0.00206411141 0.002018883126 0.001972083701 0.001913263462 0.001882354496 0.001874413225 0.001842949772
12,frag@134.06 frag@145.08 frag@132.07 frag@105.06 frag@148.08 frag@120.06 frag@133.08 frag@187.09 frag@132.06 frag@128.05 frag@130.03 frag@146.06 frag@119.06 frag@131.06 frag@146.08 frag@171.05 frag@118.06 frag@147.07 frag@157.08 frag@104.05,0.00322825741 0.003214254975 0.002809348283 0.002555940067 0.002508901758 0.002500315895 0.002405408304 0.002366314409 0.002356609097 0.002352329437 0.0022892782 0.002284859773 0.002230501268 0.002129674423 0.00210927194 0.002103696344 0.001941228053 0.001875143498 0.001863927231 0.001858076081
13,frag@180.08 loss@159.08 frag@152.06 frag@169.11 frag@165.07 frag@151.05 frag@189.07 frag@192.06 frag@241.1 frag@190.06 frag@162.04 frag@207.08 frag@156.07 frag@175.05 frag@153.04 frag@290.14 frag@247.16 loss@162.04 frag@167.06 loss@138.09,0.001109787845 0.0009640146745 0.0009057480493 0.0008980999701 0.000885094807 0.0008669781382 0.0008536514943 0.0008265114739 0.0008141999715 0.0007841807092 0.0007839573664 0.0007731362712 0.0007719931309 0.0007477221661 0.0007223217981 0.0007197075174 0.0007190477336 0.0007108679856 0.0006883171154 0.0006801408599
14,frag@192.06 frag@165.07 loss@203.12 frag@83.03 loss@159.08 loss@136.03 frag@258.1 frag@125.03 frag@127.05 frag@340.2 loss@138.08 frag@113.05 frag@241.1 frag@228.07 frag@156.07 frag@152.06 frag@245.11 loss@138.09 frag@180.08 frag@290.14,0.001166089321 0.001030213898 0.001029900042 0.001024252153 0.00096345169 0.0009620976052 0.0009282770916 0.000922628562 0.0009169180412 0.0009026454645 0.0008926771698 0.000879794592 0.0008796323091 0.0008709352696 0.0008586594486 0.0008572748629 0.0008568204357 0.0008313957951 0.00083059608 0.0008058996755
15,frag@186.1 frag@123.02 frag@177.05 frag@181.08 frag@130.03 frag@143.06 frag@175.06 frag@155.06 frag@163.03 frag@151.05 frag@171.09 frag@299.07 frag@189.08 frag@158.07 frag@258.1 frag@178.04 frag@174.1 frag@168.08 frag@157.08 frag@144.04,0.001567029511 0.001224851003 0.001151747885 0.001113848062 0.001054066699 0.001051050262 0.00103173824 0.00101821986 0.0009959766176 0.000989506836 0.000965577492 0.0009540503379 0.0009278093348 0.0009114124114 0.0009076032438 0.0009025114123 0.000877687824 0.000867670693 0.0008674600977 0.0008535711095
16,frag@55.02 frag@67.05 frag@56.05 frag@41.04 frag@43.02 frag@84.08 frag@45.03 frag@68.05 frag@112.08 frag@84.09 frag@42.03 frag@84.04 frag@135.0 frag@110.1 frag@72.94 frag@154.04 frag@138.01 frag@82.06 frag@83.09 frag@55.05,0.002338539809 0.002187511418 0.001859814161 0.001801226637 0.001694389386 0.001693444792 0.00158392312 0.001531702699 0.001520252554 0.001512254821 0.001464182162 0.001423822367 0.001286981045 0.001276879455 0.001261541387 0.001241732505 0.001229051733 0.001221393235 0.001191560412 0.001181722968
17,frag@167.07 frag@180.08 loss@143.09 frag@181.06 frag@189.07 loss@170.11 loss@127.1 frag@225.1 loss@155.09 loss@145.11 loss@125.08 loss@117.12 loss@129.12 frag@146.02 loss@153.12 loss@97.09 frag@153.07 loss@168.19 frag@169.11 loss@115.1,0.00183873286 0.001666277647 0.001647403697 0.001464392524 0.001408796757 0.001346926554 0.001332297339 0.00132334372 0.001298060175 0.001263531507 0.001205474022 0.001196789322 0.001167813549 0.001149551477 0.001139335218 0.001110205194 0.001074753935 0.001072866144 0.00106045045 0.001037061214
18,frag@67.05 frag@97.06 frag@43.02 frag@55.02 frag@85.06 frag@58.03 frag@81.07 frag@79.05 frag@110.1 frag@83.09 frag@84.08 loss@185.11 frag@41.04 frag@57.03 frag@112.08 frag@69.07 frag@69.03 frag@67.06 frag@55.05 frag@95.09,0.02934281714 0.01064090431 0.01058862451 0.006856100634 0.006389501039 0.005751477089 0.005583360326 0.004985721782 0.004753919318 0.004709305242 0.004632530734 0.004492559936 0.004323474132 0.004115345888 0.003632820677 0.003559797769 0.003498458769 0.003164927009 0.003019572468 0.00298919878
19,frag@97.04 frag@139.03 frag@137.07 frag@83.03 frag@120.04 frag@109.04 frag@149.08 frag@110.99 frag@80.05 frag@135.06 frag@108.04 frag@85.01 frag@116.03 frag@125.04 frag@223.0 frag@96.04 frag@231.12 frag@92.05 frag@122.1 frag@109.08,0.002302672481 0.001946329838 0.001601992641 0.001591056585 0.001339648385 0.001332431682 0.00133177056 0.001316811889 0.001293240231 0.001288567553 0.001266420702 0.0012430317 0.001231265254 0.001179839019 0.001166007831 0.00113765907 0.001079154434 0.001045597484 0.001036886359 0.001032196102
20,frag@139.03 frag@223.0 frag@148.08 frag@120.04 frag@122.1 frag@135.06 frag@231.12 frag@134.06 frag@133.08 frag@281.14 frag@134.07 frag@171.05 frag@121.04 frag@144.04 frag@120.06 frag@149.08 frag@154.03 frag@132.06 frag@131.06 frag@130.03,0.002191444859 0.001737079001 0.001594744972 0.001556864823 0.001524192165 0.001440328429 0.001430801931 0.001286700019 0.001203166321 0.001185884932 0.001123913913 0.001111995894 0.001109552453 0.00110604451 0.001091456041 0.001077598426 0.001040059491 0.001039354596 0.001038786257 0.001020829659
