seed,true_topics,fitted_topics,method,nll,beta_cosine,theta_cosine,top_accuracy,planted_recovered_ge_0_5,median_effective_topics,mean_effective_topics,median_exact_support,mean_exact_support,p95_exact_support,fraction_support_le_3,active_gt_0_005,active_gt_0_0005,corpus_effective_topics,maximum_mean_usage,mean_nearest_beta_cosine,maximum_beta_cosine,unique_top1,catastrophic_duplicate_component,finite,training_seconds
11,18,128,balanced_etm_softmax_raw_counts,6.417461911762076,0.3696165382862091,0.578167708244044,0.54375,6,3.6674587161452337,6.9891532458952526,128,128,128,0,7,128,13.877255473607832,0.28271392347442154,0.9636927247047424,0.9946434497833252,7,False,True,4.611220900999797
11,18,128,balanced_etm_softmax_distinct_words,6.61576931490848,0.4202199876308441,0.48763732014518546,0.5,4,127.29281938968151,109.50512951213163,128,128,128,0,128,128,115.24179739512174,0.06538007089034686,0.9623406529426575,0.9988718628883362,14,False,True,4.454513226000017
11,18,128,balanced_etm_entmax15_distinct_words,6.578594776229495,0.4373876452445984,0.68960423706106,0.59375,5,3.848683904296268,36.32327255507753,15.5,62.94375,128,0.49375,15,128,33.24053815579177,0.20339111984791938,0.9766398072242737,0.9956861138343811,11,False,True,5.31416955099985
