epoch,reconstruction,kl,reconstruction_to_kl_ratio,mean_gradient_norm,mean_effective_document_mass,seconds
1,457.49005640332945,0.11657349584258606,3924.477456017077,1.142536925378247,48.44190629620418,7.553097889000128
2,449.573650039245,0.11279349105658933,3985.811998794244,0.8658057601652412,48.41751455146576,6.7501801130001695
3,448.7540385879089,0.30800327839695407,1456.9781234911256,1.012768968800518,48.4337516499457,6.765412988999742
4,446.56977915541034,1.1877170333238405,375.99004360969667,1.9943931347855897,48.45215374955507,6.712362946999747
5,440.02697411653037,3.2832031951886473,134.02367991154662,4.226347073216305,48.40668979537821,6.697178838000127
6,435.8560594220028,4.03565180858719,108.00140351419174,5.349187142381044,48.42473103175654,6.698190655999952
7,433.60990805937865,4.211459601036856,102.95953164376179,5.5061791411070065,48.4218444467705,6.759261278000395
8,432.11554012120325,4.423499755770247,97.68634881408751,5.198179062281813,48.42855578271028,6.696859627000322
9,430.1196619907272,4.925597329006017,87.32335050163857,5.286545359085653,48.43432898833373,6.7050877759998
10,428.50653019129675,5.3264133907924185,80.44935658430883,5.819544415607631,48.44558673038661,6.642964379999739
11,427.33516087041835,5.454430152322645,78.34643563790938,5.890571792549062,48.43440114671939,6.483219104999989
12,426.340358841085,5.583832517962589,76.35264085546869,6.493021421343367,48.396514500412984,6.472839165000096
13,426.0547117429359,5.662562553013597,75.24061902259976,5.960400474405734,48.415421744373354,6.4840780730000915
14,425.88328081647927,5.698305900965895,74.73857813500143,6.2162258157106205,48.438081580901816,6.48181331800015
15,425.421467718677,5.736616905604567,74.15894676582782,6.39386661476064,48.428339271901926,6.564604574999976
16,425.4961179929359,5.80760632719949,73.26531690003792,6.443807109494076,48.483184707499,6.645744483999806
17,424.97363452376607,5.973885353480544,71.13856550262807,6.140231794285997,48.45893724388051,6.66767714100024
18,424.6520565425124,5.9927496509017235,70.86097055274375,6.311322876226122,48.465432104663314,6.611222186000305
19,423.7275450519312,6.051816726399359,70.01658579704475,6.512102889123364,48.396803169607004,6.613724235000063
20,423.94765037465316,6.1344053188217025,69.10982048641108,6.159747509198768,48.460308395813556,6.624232222000046
21,423.2821837808484,6.167456261465483,68.63156637616268,6.578579644176448,48.41138051826263,6.6213787530000445
22,422.8662856627848,6.166589977585267,68.57376397650036,6.543471902330345,48.38402995884976,6.6863075470000695
23,422.678657603041,6.244372501551548,67.6895328550655,6.932522082997259,48.39189593591423,6.714497456000117
24,422.8808277165778,6.285262553491325,67.28133059161972,6.5315337871836725,48.44681352989696,6.736298584999986
25,422.2754473819911,6.30554999146506,66.96885251144884,6.664680079879048,48.410514510680585,6.599895065000055
26,422.620361613336,6.347360178688977,66.58206714537297,6.740655801006567,48.471926965446116,6.575936476000152
27,421.96619622061183,6.418643670661427,65.74071063476393,6.668920213931075,48.4262465004609,6.54443703600009
28,421.66171492817244,6.535127474882892,64.52233970167943,6.744236620787148,48.43656611219745,6.5844122569997126
29,421.3970459554797,6.585308364618604,63.9904804184345,6.695761368653485,48.45186508036105,6.582272534999902
30,420.6948675708236,6.6644675932197925,63.125052629684106,6.852433128891704,48.41773102662274,6.572130622000259
31,420.4533274998175,6.708137218083177,62.67810478986598,6.949700181729326,48.42805063835928,6.5518593150000015
32,420.2213916243794,6.7713960843665575,62.05830915644773,6.8143976960226755,48.445153744421276,6.580956010999671
33,420.12877163040304,6.768035407378295,62.075439376749145,6.792214429267099,48.4537413766451,6.547786199000257
34,419.76300505165744,6.802306861520927,61.70891928239219,6.837837192499749,48.420401136451794,6.563890726999944
35,419.38390172084917,6.843024441014941,61.28633696048105,6.996800681140935,48.393194929461615,6.571319696000046
36,419.97135255047095,6.8542072260491205,61.27205360152927,7.304204107444977,48.47026717997043,6.567602568000439
37,419.45129708263363,6.9024024187961475,60.76888474952036,6.633630248987786,48.4357001046154,6.579926955999781
38,419.5710976859119,6.937613335725303,60.47772877818467,6.850033042586852,48.45215374955507,6.597717182999986
39,419.28907504928446,6.902893146621847,60.74106409346305,7.012081787965008,48.427689810779604,6.546163043999968
40,419.1588970433886,6.98183807480001,60.03560846767348,6.8768833151487545,48.425524845301545,6.557619988999704
41,419.3944245810821,6.927014284044783,60.54476104475299,6.85977392553169,48.467669228527036,6.53506802100037
42,419.1974732586157,6.971477045077029,60.13036700086902,6.789393447269903,48.453669218259435,6.552353203000166
43,419.3456058680454,6.976315186402508,60.10989966241624,7.080995697841466,48.474019736887136,6.535612211000171
44,418.85002064927716,6.974625458227139,60.05340690448251,6.6984939129553105,48.42588567288122,6.544154118999813
45,419.1718122535777,7.0081396013776835,59.81213789907602,6.950731455722702,48.464999118697975,6.5286023919998115
46,418.58824371623103,7.0042181148707305,59.762308490582534,7.290980076121393,48.4088547252049,6.5378143160000945
47,418.86798552040744,7.027670272042818,59.60268044827465,7.181614131570976,48.458576416300836,6.523403645999679
48,418.90527543397707,7.018640380039393,59.68467577072611,7.054151468187849,48.46492696031232,6.554061074999936
49,418.70622239157416,7.082276919177759,59.12028393831645,7.1533697431332595,48.44681352989696,6.510705175000112
50,418.46405599718895,7.030151153279242,59.524190429674434,6.924694907999484,48.435194960264404,6.539018701999794
51,418.3946787040924,7.078545686240508,59.10743495198183,7.212394513816477,48.4218444467705,6.607319822999671
52,418.1647027987186,7.057253235968474,59.25318092136359,7.307463730607077,48.396803169607004,6.560942662999878
53,418.03186719662676,7.043697584455258,59.34835534665509,7.047856455651399,48.393772232198266,6.539427067999895
54,418.3646756466304,7.045694738905007,59.37876833302173,7.082516425123838,48.41967948129244,6.538487327999974
55,418.6652250200789,7.139166934467922,58.64342840881921,7.367770092509617,48.473442434150485,6.531332640999608
56,418.41527949538187,7.096720347894687,58.958963997997884,7.171824811774994,48.449988784077014,6.573787299999822
57,418.2452883141063,7.099280397468638,58.91375814135167,7.005057718152198,48.42754545835691,6.5388786690000416
58,418.01344570266866,7.1352797846927825,58.58403010340634,7.100021446976706,48.41426710324867,6.603913893999561
59,418.13629235953925,7.127489366263987,58.665298658833855,7.3509554461898095,48.42307124628085,6.5430324539997855
60,418.13136191680053,7.163445156311321,58.370149110223565,7.178932796014804,48.43772075332214,6.546934387999954
61,418.04123980085427,7.1864467692152365,58.1707835910826,7.02644911436277,48.422493907892814,6.553383897000003
62,417.75049541152526,7.105335306898456,58.79391715770796,7.55932162632452,48.41563825518171,6.560913613000139
63,418.2080928053811,7.150707908879931,58.484851868447834,7.5806986683997035,48.445298061192595,6.526838436000162
64,418.308756890698,7.2161896741278815,57.968093381809986,7.382698215056803,48.466298076593986,6.534357654999894
65,417.7023438070422,7.199037168627587,58.02197349769654,7.5290745485608825,48.406256809412874,6.6035794939998596
66,418.0434921122043,7.213343709428734,57.9541900333641,7.979119537032653,48.44493723361292,6.545714707000116
67,417.85706764292496,7.215670888669023,57.90966274516456,7.546575844844925,48.42978258222063,6.555005564000112
68,417.88270811277016,7.20220178087181,58.02152186607946,7.64116723515163,48.433968160754056,6.570476323999628
69,417.7290338534061,7.24870993712238,57.628052091602626,7.843560807058744,48.42437020417686,6.624868541000069
70,417.67897333162966,7.274066786899745,57.42028298170839,7.567448999280128,48.423576390631844,6.567752240999653
71,418.4193631466304,7.297694562751556,57.33582839740934,7.410498913203444,48.51024659771785,6.546502349000093
72,417.5764801881024,7.294859605414845,57.24256569353888,7.406653983570705,48.41123616583994,6.554105239999899
73,417.3939094899971,7.304213243110158,57.14426668521926,7.59335684553485,48.40495781586549,6.52966053099999
74,417.5611241420853,7.319535580750938,57.047488810655686,7.562348588604793,48.42927743786964,6.546054808000008
75,417.6610737738208,7.307653280062096,57.15392585925639,7.7037616043447334,48.45691663082515,6.6666261549999035
76,417.6697518892377,7.3101041874038835,57.135950621460196,7.509431250741549,48.461823864517925,6.601016900000104
77,417.3513137959988,7.363463664723334,56.67866819190448,8.03785847280627,48.4108031798746,6.611976387000141
78,417.1708011805454,7.352995667502145,56.73480851135341,8.104677204773806,48.40026709298107,6.584774227000253
79,417.10681494596963,7.3405690727946915,56.82213610547353,7.617660415506808,48.39860730750539,6.534043510999709
80,417.35368247344115,7.4091741526238275,56.329311995675354,7.707256098773992,48.427689810779604,6.636028431000341
81,417.30315534645155,7.37533876383416,56.58087970043445,7.5592920601925,48.42934959625529,6.545476314000098
82,417.4384976681148,7.3940765345208,56.45579887078737,8.236829940403734,48.446957846668276,6.610734970000067
83,417.50730111665814,7.372056297052686,56.633764623253846,8.111275815518104,48.451937238746716,6.581666005999978
84,416.8875923513252,7.414677927427203,56.22463934802086,8.163698227606087,48.39478255655164,6.569854861999829
85,417.3807210476599,7.405307212722636,56.36237755681248,8.18024015872278,48.44551457200095,6.637538413999664
