run,data,seed,topics,variant,normalization_statistics,reused_training_weights,epochs,momentum,count_scaling,concentration,completion_nll,median_effective_topics,unique_top1_topics,corpus_effective_topics,nearest_beta_cosine,catastrophic_duplicate,beta_recovery,theta_recovery,recovered_motifs,training_seconds,parameters,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos
real_calibrated/batchnorm/models/minimal_etm,MSnLib validation,42,1000,batchnorm,training,True,120,0.9,raw_counts,,8.75681897137987,39.55602260126666,288,362.2869884152955,0.31348922848701477,False,,,,841.9153622320009,19282000,638,201,123,0.6268519189106412
real_calibrated/batchnorm_fixed/models/minimal_etm,MSnLib validation,42,1000,batchnorm_fixed,training,False,120,0.9,raw_counts,,8.23132900397185,635.3301176487624,568,970.2629264696143,0.5526899099349976,False,,,,1091.104037175999,19282000,777,459,296,0.6510838764633271
real_calibrated/prior_batchnorm/models/minimal_etm,MSnLib validation,42,1000,prior_batchnorm,training,True,120,0.9,raw_counts,0.02,9.025241730380943,2.960263321183323,56,42.8958940369269,0.9466179013252258,False,,,,844.7172537799997,19282000,617,47,26,0.6262788661590872
real_calibrated/prior_batchnorm_fixed/models/minimal_etm,MSnLib validation,42,1000,prior_batchnorm_fixed,training,True,120,0.9,raw_counts,0.02,8.781335608360008,249.25157370895374,256,658.5978009491427,0.9718495607376099,False,,,,1076.9594870670007,19282000,882,234,156,0.6564621243746016
repeats/seed23_k128_batchnorm,synthetic,23,128,batchnorm,ema,False,120,0.99,raw_counts,,6.120597489641972,3.1225498331264108,27,34.9114601859705,0.9001530408859253,False,0.6313051581382751,0.940836587321386,15,2.2321394850005163,2302112,,,,
repeats/seed23_k128_contextual,synthetic,23,128,contextual,not_applicable,False,120,0.99,raw_counts,,6.138916972409234,1.799005215242076,23,20.11312218636529,0.8879181742668152,False,0.6510465741157532,0.9516199506238869,16,3.1996165070013376,2301601,,,,
repeats/seed23_k128_etm,synthetic,23,128,etm,not_applicable,False,120,0.99,raw_counts,,6.325385872026664,2.812836201471203,10,19.68433301267577,0.9663565158843994,False,0.42806804180145264,0.6771177022013719,7,2.182618400998763,2301600,,,,
repeats/seed23_k128_prior_batchnorm,synthetic,23,128,prior_batchnorm,ema,False,120,0.99,raw_counts,0.02,6.195060193634985,2.413900875740456,26,34.78885507266667,0.9533838629722595,False,0.634913444519043,0.9662886928585248,15,2.2361912759988627,2302112,,,,
repeats/seed23_k36_batchnorm,synthetic,23,36,batchnorm,ema,False,120,0.99,raw_counts,,6.1126177449390315,2.788572589144171,21,19.483733726045227,0.7003761529922485,False,0.5823276042938232,0.886348312022999,13,1.9016339099980542,2149944,,,,
repeats/seed23_k36_contextual,synthetic,23,36,contextual,not_applicable,False,120,0.99,raw_counts,,6.184144373420763,1.835272252094612,17,14.725721603878712,0.7414061427116394,False,0.5455419421195984,0.7935730080817127,11,3.1523470180000004,2149801,,,,
repeats/seed23_k36_etm,synthetic,23,36,etm,not_applicable,False,120,0.99,raw_counts,,6.459773778691621,3.057939102177768,9,13.20673478643357,0.9226717352867126,False,0.3635616600513458,0.6766624508539044,4,1.720165974998963,2149800,,,,
repeats/seed23_k36_prior_batchnorm,synthetic,23,36,prior_batchnorm,ema,False,120,0.99,raw_counts,0.02,6.153457827199985,2.1045613132760588,23,21.414324480387105,0.7578030228614807,False,0.5906679630279541,0.9421607079481958,13,1.9076336450016242,2149944,,,,
repeats/seed37_k128_batchnorm,synthetic,37,128,batchnorm,ema,False,120,0.99,raw_counts,,6.171270619844868,3.677922523526371,24,33.72881857228728,0.9260038137435913,False,0.6583601236343384,0.9401128478528893,17,2.2917321200002334,2318912,,,,
repeats/seed37_k128_contextual,synthetic,37,128,contextual,not_applicable,False,120,0.99,raw_counts,,6.242628944735446,1.8929478714806316,26,22.724845417401998,0.8641392588615417,False,0.6614177227020264,0.9396361330699428,16,3.2787271029992553,2318401,,,,
repeats/seed37_k128_etm,synthetic,37,128,etm,not_applicable,False,120,0.99,raw_counts,,6.515206458214027,3.8297524267031116,7,17.716369872570365,0.9732848405838013,False,0.3808842599391937,0.5687319324560598,6,2.1262651549986913,2318400,,,,
repeats/seed37_k128_prior_batchnorm,synthetic,37,128,prior_batchnorm,ema,False,120,0.99,raw_counts,0.02,6.209646209407213,2.9771691083971668,31,37.74619064166845,0.9553346037864685,False,0.6590467095375061,0.9224574076263904,16,2.30153322499973,2318912,,,,
repeats/seed37_k36_batchnorm,synthetic,37,36,batchnorm,ema,False,120,0.99,raw_counts,,6.165913421715032,3.716503228352368,22,21.982690304192133,0.6926625370979309,False,0.5580005645751953,0.808338564322975,13,1.8690705820008588,2166744,,,,
repeats/seed37_k36_contextual,synthetic,37,36,contextual,not_applicable,False,120,0.99,raw_counts,,6.232369441432364,2.131335022793789,19,16.5209947755483,0.6982858180999756,False,0.5524521470069885,0.8159733081114593,13,3.203393083997071,2166601,,,,
repeats/seed37_k36_etm,synthetic,37,36,etm,not_applicable,False,120,0.99,raw_counts,,6.477337956639182,2.5475710127501676,8,10.377530951309643,0.9213848114013672,False,0.3562072217464447,0.5997507572275573,5,1.6351453280003625,2166600,,,,
repeats/seed37_k36_prior_batchnorm,synthetic,37,36,prior_batchnorm,ema,False,120,0.99,raw_counts,0.02,6.197616263712323,1.9977567963900595,23,22.69473835682495,0.7893222570419312,False,0.5925886631011963,0.8507822261107535,14,1.887764454997523,2166744,,,,
screen/seed11_balanced,synthetic,11,36,balanced,not_applicable,False,120,0.99,raw_counts,,6.408793037199175,2.4728087189568777,9,12.453021159218194,0.8748963475227356,False,0.42653849720954895,0.6518127503422237,7,2.050320317001024,2167400,,,,
screen/seed11_batchnorm,synthetic,11,36,batchnorm,ema,False,120,0.99,raw_counts,,6.157739860865528,2.88950140039909,19,19.457783819712727,0.7428505420684814,False,0.5852227807044983,0.8874726774407596,12,1.796283259998745,2167544,,,,
screen/seed11_contextual,synthetic,11,36,contextual,not_applicable,False,120,0.99,raw_counts,,6.1881974674341205,1.7580167571795302,18,14.967492745326265,0.7220913767814636,False,0.6090250015258789,0.9390458110878613,14,3.1041900849995727,2167401,,,,
screen/seed11_etm,synthetic,11,36,etm,not_applicable,False,120,0.99,raw_counts,,6.4158857595746435,2.6870023807738797,9,12.739884884314941,0.8751233220100403,False,0.42708393931388855,0.6539704291751007,7,1.7041883970014169,2167400,,,,
screen/seed11_prior,synthetic,11,36,prior,not_applicable,False,120,0.99,raw_counts,0.02,6.828187291612959,1.495643660314446,3,3.8172115612900654,0.9793698191642761,False,0.27333325147628784,0.2829410037191403,1,1.6896713719979743,2167400,,,,
screen/seed11_prior_bn,synthetic,11,36,prior_batchnorm,ema,False,120,0.99,raw_counts,0.02,6.194189128386372,2.3084987891429294,23,22.831658803744,0.8517999053001404,False,0.5878406763076782,0.8661976054758934,13,1.8870824149998953,2167544,,,,
