variant,heldout_nll_mean,heldout_nll_sd,beta_cosine_mean,beta_cosine_sd,theta_cosine_mean,theta_cosine_sd,median_effective_topics_mean,median_effective_topics_sd,corpus_effective_topics_mean,corpus_effective_topics_sd,active_gt005_mean,active_gt005_sd,redundancy_mean,redundancy_sd,unique_top1_mean,unique_top1_sd
canonical_etm,6.430395337963293,0.03301444253463144,0.5224088430404663,0.029695173697650127,0.8289902293661725,0.013503175448961634,5.76219383875529,0.4543091441684268,19.360640207926433,0.6270214623999139,22.666666666666668,4.496912521077347,0.6738670667012533,0.003366306632749602,15.0,0.816496580927726
balanced_etm,6.42170088843211,0.029381567989363474,0.5210137565930685,0.02957506889327965,0.8262253547921622,0.027415962842577125,5.729953606923421,0.3013454340441254,19.48078219095866,0.408875476965655,23.666666666666668,4.9216076867444665,0.6651553312937418,0.006485102113039983,15.0,0.816496580927726
canonical_etm_gate,6.377865634011205,0.030660714761553822,0.5429363449414571,0.022391171633050294,0.8313958038187897,0.027995598968227477,7.286612033843994,0.3920163431753873,22.762584050496418,1.1354553465339683,31.666666666666668,3.0912061651652345,0.5250388582547506,0.03950493226549501,17.666666666666668,2.0548046676563256
balanced_etm_gate,6.376977592340574,0.02512412703974892,0.5477443933486938,0.013473549242072539,0.8301830300052341,0.008932320339970094,7.266251722971599,0.22765192778241625,22.80655034383138,0.5490190333324092,32.333333333333336,3.091206165165235,0.5272069374720255,0.002019963030262734,17.333333333333332,1.247219128924647
balanced_etm_gate_sep5,6.348335586702668,0.03181874978941193,0.5633406837781271,0.030892841822728643,0.827453634798682,0.023628907342487085,7.534862200419108,0.40367348972491296,23.786413828531902,0.4873025332679445,32.0,2.160246899469287,0.46026753385861713,0.03645877307810696,18.666666666666668,0.9428090415820634
