screen_variant,seed,heldout_nll,beta_cosine,theta_cosine,top_accuracy,median_effective_topics,corpus_effective_topics,active_gt005,max_usage,redundancy,pairs_ge099,unique_top1,best_epoch,sep_weight
canonical_etm,11,6.463079736971402,0.4813933968544006,0.8234256955620367,0.78125,5.532182216644287,18.49765968322754,19,0.1574074923992157,0.6727164387702942,0,14,120,
canonical_etm,23,6.442927481220895,0.5351060032844543,0.8475927552251961,0.76875,5.357665061950684,19.61554527282715,20,0.1460128724575042,0.670441746711731,0,15,120,
canonical_etm,37,6.385178795697579,0.550727128982544,0.815952237311285,0.7625,6.396734237670898,19.96871566772461,29,0.164812296628952,0.6784430146217346,0,16,120,
balanced_etm,11,6.4526207485945495,0.4792609810829162,0.7897187016613316,0.74375,5.470874309539795,18.90373039245605,18,0.1613550186157226,0.6666299104690552,0,14,120,
balanced_etm,23,6.430280228138504,0.5397555828094482,0.8557880021049641,0.80625,5.56645393371582,19.80135726928711,23,0.1411803066730499,0.6722573041915894,0,15,120,
balanced_etm,37,6.382201688563274,0.5440247058868408,0.8331693606101908,0.7625,6.152532577514648,19.73725891113281,30,0.1777497828006744,0.656578779220581,0,16,120,
canonical_etm_gate,11,6.340811891582311,0.5663847923278809,0.8659353971714154,0.825,7.813211441040039,24.170818328857425,36,0.1545576453208923,0.4719418883323669,0,20,120,
canonical_etm_gate,23,6.415895947833149,0.5496423840522766,0.8308858612785116,0.7625,6.873195648193359,22.726707458496094,29,0.1260929554700851,0.5365376472473145,0,18,120,
canonical_etm_gate,37,6.376889062618157,0.5127818584442139,0.7973661530064419,0.74375,7.173429012298584,21.390226364135746,30,0.1671766489744186,0.5666370391845703,0,15,120,
balanced_etm_gate,11,6.366372551641597,0.5286905765533447,0.8417581338901072,0.7875,7.365694999694824,22.749406814575195,28,0.1527420580387115,0.528629720211029,0,19,120,
balanced_etm_gate,23,6.411648164601859,0.5571340322494507,0.8287763738073408,0.7625,6.951348304748535,23.50570678710937,34,0.1261049062013626,0.5286408066749573,0,17,120,
balanced_etm_gate,37,6.352912060778267,0.5574085712432861,0.8200145823182539,0.7625,7.4817118644714355,22.16453742980957,35,0.1669332534074783,0.5243502855300903,0,16,120,
balanced_etm_gate_sep5,11,6.304964726146648,0.5973273515701294,0.8602436159970239,0.8125,7.209402084350586,24.47176551818848,33,0.1457803547382354,0.4096821546554565,0,20,120,5.0
balanced_etm_gate_sep5,23,6.380407334817836,0.5701219439506531,0.8166354482178576,0.74375,7.291408538818359,23.38116455078125,29,0.1253725439310073,0.4942032992839813,0,18,120,5.0
balanced_etm_gate_sep5,37,6.359634699143523,0.5225727558135986,0.8054818401811644,0.74375,8.103775978088379,23.506311416625977,34,0.1547675281763076,0.4769171476364136,0,18,120,5.0
balanced_etm_gate_sep2,11,6.3031,0.564,0.8555,,,36,,0.4468,0,,,,2.0
balanced_etm_gate_sep2,23,6.40581838226311,0.5527281761169434,0.7989130271082103,0.71875,7.541161060333252,22.637582778930664,32,0.1228378862142562,0.5245064496994019,0,18,,2.0
balanced_etm_gate_sep2,37,6.374241653974288,0.5171047449111938,0.7901243777712808,0.725,7.614469528198242,21.840316772460938,35,0.166026309132576,0.5374724268913269,0,17,,2.0
