,heldout_nll,heldout_nll,theta_cosine,theta_cosine,median_effective_topics_per_doc,median_effective_topics_per_doc,top1_acc,top1_acc
,mean,std,mean,std,mean,std,mean,std
tau,,,,,,,,
0.1,7.779149148149742,0.3969885530550975,0.7918294333333332,0.014244338148658676,1.3638851666666667,0.1338617768494552,0.7395833333333334,0.036084391824351615
0.15,7.393328713971073,0.3190230639275094,0.8004942533333333,0.01245036266475934,1.8255795,0.22752898785299858,0.7395833333333334,0.036084391824351615
0.2,7.091722590081628,0.259810715257835,0.8054847500000001,0.011520006372068533,2.3219912666666667,0.2995674575216129,0.7395833333333334,0.036084391824351615
0.25,6.865537744764992,0.2114834127311362,0.8070074366666667,0.010963679327991714,3.287714233333334,0.3831546449810354,0.7395833333333334,0.036084391824351615
0.3,6.699452249003795,0.1677915149568125,0.8053258733333334,0.010545381528452776,4.7422708,0.39239383532123684,0.7395833333333334,0.036084391824351615
0.4,6.504209552128066,0.09531062371716685,0.7938382833333333,0.009810810323609042,9.335259666666666,0.40803551561148854,0.7395833333333334,0.036084391824351615
0.5,6.443731209553811,0.049460518116813255,0.7744970666666666,0.009466062986444451,14.954012,0.25010054637485324,0.7395833333333334,0.036084391824351615
0.7,6.528711753862173,0.003970488156325023,0.7245242366666668,0.010507231909072623,23.715915666666664,0.3835081264619224,0.7395833333333334,0.036084391824351615
1.0,6.758837835400904,0.03480871061372282,0.6466663433333334,0.012453767164502208,29.947125333333332,0.22684699354704474,0.7395833333333334,0.036084391824351615
