epoch,reconstruction,kl,reconstruction_to_kl_ratio,mean_gradient_norm,mean_effective_document_mass,context_scale,seconds
1,6121.5554176401865,122.12201911712361,50.12654934708526,50.78431081326208,661.8217573789792,1.5110440254211426,7.556094644000041
2,5795.857517705899,91.76233751528731,63.16161591611949,41.488905986892846,661.922716372481,1.8565361499786377,6.912017561000084
3,5666.332838967582,92.10694485958491,61.51906186450746,47.19064017322576,661.2051072165231,2.011622905731201,6.784631696999895
4,5596.180855724299,94.22407752776815,59.39225941559456,53.63182727421555,661.7289531386901,2.016122341156006,6.716910360000384
5,5536.83996239778,97.23076258864359,56.945351604642,61.27726310658678,661.1766020872883,1.9436523914337158,6.759502519000307
6,5498.089674905082,100.83112249641775,54.52770472827389,67.62351344456182,661.749375958309,1.8761308193206787,6.776932344000215
7,5453.320020443925,105.00238671703873,51.93520062681599,71.00200899070668,661.3857364832797,1.7806998491287231,6.83091959300009
8,5422.496677862149,107.79214620144568,50.3051184056434,73.23030735621943,661.8225514064326,1.6816550493240356,6.7489425449998635
9,5386.851448415596,111.35437589271046,48.375749989437395,77.20896383980724,661.6668912228023,1.60585355758667,6.767195313000229
10,5350.173038660923,116.44415268942575,45.946257627299225,85.82834532550562,661.6262623439326,1.4195860624313354,6.8439145319998715
11,5311.871171327395,119.39404061575917,44.49025381779621,91.74259499523127,661.1696024386682,1.197028636932373,6.762924903000112
12,5272.771507191881,129.07746216961158,40.849668242340435,93.49876097206757,661.5196749963493,0.9757933020591736,6.807885192999947
13,5225.832473897488,136.16118871385805,38.379750670945924,95.68561553955078,661.126519604264,0.8631832599639893,6.751219024999955
14,5187.938526759638,142.5483723578052,36.39423194350892,99.2470335915824,661.3732516565055,0.7262293696403503,6.79458912400014
15,5150.919429030374,148.31099294502044,34.73053026446828,102.65431798061478,661.6050460672824,0.6154828071594238,6.763347013999919
16,5115.101407345211,154.6180854868666,33.082167530652114,109.92990654205607,661.6378088264822,0.5836716294288635,6.787760007000088
17,5078.645325277454,160.58918947594188,31.625076020688763,111.09686486074858,661.0612102758105,0.5440179705619812,6.810887303000072
18,5050.442506023656,165.05351314366422,30.598818588173284,116.8249933118018,661.6096647743867,0.5117491483688354,6.71452416000011
19,5026.221305490654,169.81161998142707,29.59880664256304,116.20696194372445,661.8009740526431,0.4656425416469574,6.822030443000131
20,4997.547518436039,173.68995908933266,28.772806123269845,116.90565398029078,661.7669118720794,0.45499739050865173,6.731144004000271
21,4973.739773474007,181.33925036849263,27.427816996965955,119.37934198112131,661.8832420277819,0.3750215172767639,6.764568551999673
22,4947.5410179066885,184.83918548298774,26.766732416498616,123.93129245365891,661.2069114613756,0.33449211716651917,6.838757636000082
23,4931.450345903913,189.6723878093969,25.999832673902763,127.1202977973724,661.5520048052351,0.3165505528450012,6.889083975000176
24,4907.911068925234,192.58824385883653,25.483959823231153,127.77894920277818,661.0373238536799,0.3436439335346222,6.889702941999985
25,4892.40765551986,196.08904801128065,24.949928132847116,124.25558742630147,661.2237257912894,0.3157053291797638,6.819949448999978
26,4882.5837333893105,197.41666847300306,24.73237833033845,128.14225476701682,661.4900872061186,0.32982268929481506,6.786296671999935
27,4863.881425233645,200.1752845550252,24.298111707675062,128.72961204742717,661.3241799613025,0.29455119371414185,6.771688687000278
28,4850.080694180782,203.70586872992115,23.809233992228044,129.12458352062188,661.4744992835499,0.29008346796035767,6.749392912000076
29,4843.586206739194,205.8022214229976,23.53515026829512,129.93211885256187,662.375191091377,0.28828978538513184,6.771056703999875
30,4822.3152015186915,206.65465025144204,23.335140030244936,131.16506936616986,661.1512000538478,0.28536298871040344,6.818962190000093
31,4816.143431476344,209.61694278895297,22.975926313004884,135.7887861305308,661.8229843567465,0.2808811068534851,6.757635810000011
32,4801.468252591998,212.021131854191,22.646177815398204,132.0179374195705,661.8120875848788,0.2837880253791809,6.775996229000157
33,4791.8166846159465,212.23291471962617,22.578103358502407,133.57032176935783,661.5027157792421,0.27436843514442444,6.819028940999942
34,4784.4753714588205,215.1516876220703,22.237684604468924,135.46133929101106,662.2110875209916,0.2708350718021393,6.866301465999641
35,4773.136869341413,217.63879294707397,21.931461779895823,136.03461891245618,662.1940570011317,0.24672558903694153,6.882317230999888
36,4758.899281724591,219.9801567291545,21.63331162448382,140.50863554767358,661.293509510076,0.2543881833553314,6.7298928109999
37,4750.6345374561915,220.7090576742297,21.52442037276154,141.3380610385788,661.3133550626095,0.2556726038455963,6.7846082340001885
38,4747.912579402745,221.88829553907163,21.397760381492045,143.1526286757995,662.1052936304395,0.2782711386680603,6.7728524690000995
39,4742.4006370473135,224.10021330931477,21.161963958069087,145.27049704578437,661.801839953271,0.24472205340862274,6.774966504000076
40,4733.161424868575,225.8310951874635,20.958856090829983,147.45697042875202,661.8682319427205,0.25711536407470703,6.731897400999969
41,4721.1252418589365,226.89534894996714,20.80750118372852,145.91898374468366,661.3853035329658,0.22627472877502441,6.751911468999879
42,4713.393048152745,227.56466004558814,20.712324344247953,143.2644404473706,661.6466851635514,0.2101549208164215,6.772578179999982
43,4711.989691333236,231.3955535888672,20.36335451676517,152.10719149580626,661.9956031870619,0.24535469710826874,6.778960067999833
