topic_id,top_words,top_probabilities
11,loss@122.07 frag@220.1 loss@197.99 frag@286.03 loss@284.03 loss@150.07 frag@241.05 loss@32.04 frag@115.04 frag@183.01 frag@208.04 frag@163.06 frag@136.11 frag@223.12 frag@161.01 frag@184.1 frag@150.04 frag@143.0 frag@340.13 frag@160.02,0.257824719 0.09367589653 0.0452291742 0.01030093338 0.00906235259 0.00831899792 0.005858524702 0.005854170304 0.005587002262 0.005523281638 0.004638126586 0.004513078835 0.003902386408 0.003496727208 0.003428891301 0.003407041077 0.003365122946 0.003266931046 0.003018479794 0.002900520107
12,frag@145.06 frag@155.06 frag@155.05 loss@171.07 loss@158.04 loss@165.0 loss@244.1 loss@176.11 loss@158.03 loss@144.06 loss@230.05 loss@201.08 loss@191.1 loss@170.09 loss@314.12 loss@178.09 loss@179.05 frag@130.03 frag@128.06 loss@189.08,0.1545270532 0.1544178873 0.1153288484 0.04235267639 0.02599809133 0.02015857026 0.01713490672 0.0154935671 0.0138994744 0.008596790954 0.003704665694 0.003696225816 0.003595207818 0.00352363172 0.003346797079 0.00332082971 0.003256928176 0.002999438206 0.002654480282 0.002630681731
13,frag@158.1 frag@160.11 frag@145.09 loss@160.1 frag@174.09 frag@146.1 frag@144.08 loss@279.15 loss@267.11 frag@132.08 frag@143.07 loss@200.1 loss@309.1 loss@293.09 loss@191.1 loss@185.03 frag@160.08 frag@159.1 loss@333.11 loss@225.14,0.1455214024 0.08837454021 0.02757731639 0.01667299122 0.01130210515 0.01014153846 0.007902488112 0.007437816355 0.006907527801 0.006400566548 0.005478408188 0.005166894756 0.004945578054 0.004674497526 0.003923221491 0.00384123344 0.003794353455 0.003657319117 0.003633428365 0.003585251281
14,frag@107.07 loss@112.02 loss@345.97 frag@377.07 frag@106.06 loss@111.03 loss@193.02 loss@325.02 frag@156.01 frag@303.06 frag@206.08 loss@78.57 loss@115.04 loss@84.02 loss@180.06 loss@189.05 loss@45.0 frag@311.1 loss@100.02 loss@110.06,0.2931929231 0.1331825554 0.01382231899 0.005053563509 0.004819659051 0.004218842834 0.004079399165 0.004000374116 0.003658103757 0.003623801516 0.003497858299 0.003287382657 0.003232645337 0.002901969478 0.002602703404 0.00257527479 0.002559514018 0.00254345173 0.002524325624 0.002228410682
15,frag@124.04 loss@231.04 frag@107.04 loss@204.0 frag@82.03 loss@259.09 loss@206.14 frag@140.05 loss@152.06 frag@109.03 frag@108.04 loss@271.05 loss@216.02 frag@96.04 frag@53.04 loss@272.07 loss@287.06 frag@152.98 loss@208.04 loss@270.05,0.2640105784 0.05484333262 0.007997727022 0.007671762258 0.007366403472 0.005296076182 0.00484298449 0.004129066132 0.003622728167 0.003342119046 0.002960629761 0.002933925949 0.00276414305 0.002701287623 0.002553018508 0.002552208491 0.002411733149 0.002363387495 0.002342688153 0.002325275214
16,loss@161.11 frag@160.04 loss@145.97 loss@234.21 loss@227.13 frag@308.14 loss@176.08 frag@202.1 frag@174.06 frag@130.06 loss@218.13 frag@136.03 frag@190.12 frag@319.12 frag@155.02 loss@217.01 frag@172.08 frag@158.08 frag@158.06 loss@310.11,0.1230874285 0.1011866704 0.01175933424 0.009392675944 0.007322456688 0.005234523211 0.004923802335 0.003585044527 0.003226111177 0.003024448873 0.002957273275 0.002645300003 0.00259093591 0.002555899089 0.002542267088 0.002486800775 0.002438195283 0.002403393155 0.002255401574 0.002250065561
17,frag@137.04 loss@189.13 loss@213.07 frag@130.0 loss@285.08 frag@217.06 loss@281.1 loss@304.16 loss@261.01 loss@129.08 loss@168.0 loss@226.05 loss@233.15 frag@176.07 loss@153.06 frag@257.11 loss@129.07 loss@193.08 loss@173.13 loss@268.12,0.2759202719 0.105963327 0.0654310137 0.03961589187 0.03154104203 0.02057832107 0.01809731871 0.006473514251 0.005704708863 0.004300956614 0.003861563979 0.003854387905 0.0031606548 0.003005780745 0.002996574389 0.002969506197 0.00294418796 0.002652984113 0.002523667179 0.002438963158
18,frag@174.04 loss@190.06 frag@173.03 frag@147.03 loss@218.05 loss@141.02 loss@152.06 frag@384.2 loss@320.1 frag@340.13 frag@70.99 loss@191.12 loss@263.06 frag@104.05 loss@399.2 loss@279.05 frag@150.04 frag@46.34 frag@241.11 loss@48.59,0.2261364758 0.2121417224 0.08670768142 0.03009203821 0.01498751808 0.00842630025 0.007160538342 0.005118280649 0.004273371771 0.003733325051 0.003654699074 0.003510870971 0.003008938627 0.00263893907 0.002580167027 0.00255607604 0.00238976907 0.002385196043 0.002148430562 0.001952247228
19,loss@196.12 frag@192.14 loss@240.18 frag@242.99 loss@275.17 loss@257.16 frag@83.09 frag@175.11 loss@196.13 loss@224.12 frag@355.18 frag@239.21 frag@82.03 frag@72.94 frag@188.13 frag@277.08 loss@109.13 frag@360.08 frag@74.06 frag@197.17,0.1706172675 0.04583170637 0.02223017067 0.02207098342 0.01865443401 0.01636430621 0.008498861454 0.006149490364 0.005762936547 0.00490387762 0.004493916873 0.004285073839 0.004212670028 0.003956837114 0.003801388433 0.003739183536 0.003656728193 0.003583784215 0.003537898185 0.003490835894
20,frag@172.09 frag@186.1 frag@215.09 frag@158.07 frag@173.09 loss@189.09 loss@333.21 frag@143.06 loss@172.06 loss@135.1 loss@187.93 loss@152.06 loss@247.01 loss@164.04 frag@200.08 loss@193.08 loss@220.08 loss@238.04 loss@137.08 frag@256.1,0.1552496254 0.06280127913 0.04265661165 0.02860330231 0.02083609439 0.008206777275 0.007761907764 0.007431148551 0.00708495453 0.006788734812 0.006474393886 0.005667120218 0.005472101271 0.005256223958 0.005150097422 0.004987270106 0.004876416177 0.004842509516 0.004690764006 0.004623868503
21,frag@121.03 loss@186.12 loss@220.16 loss@282.14 loss@220.17 loss@225.13 frag@121.04 loss@200.13 loss@183.15 loss@185.12 frag@149.06 frag@279.09 loss@228.05 loss@213.1 frag@65.04 loss@191.1 frag@177.09 loss@302.15 loss@183.08 loss@295.11,0.3887123764 0.03845597804 0.03605414927 0.03347153589 0.02543200925 0.02405839227 0.01004069019 0.007105036639 0.006705322769 0.006621024571 0.005713124294 0.00550400652 0.005403871648 0.005221986212 0.004612280056 0.004476541188 0.004059603903 0.003993207589 0.003668037709 0.003556011245
22,frag@160.09 frag@174.07 loss@187.07 frag@188.08 loss@176.09 loss@261.16 loss@189.09 frag@158.07 loss@177.09 frag@231.12 frag@162.07 loss@205.09 loss@162.08 loss@215.11 frag@120.06 frag@132.06 loss@188.01 loss@206.15 loss@190.07 loss@218.12,0.1387500316 0.1112033352 0.07185065001 0.05333646014 0.03625140339 0.01258607954 0.009525969625 0.008357775398 0.008113852702 0.006478436757 0.005606165156 0.005391095765 0.004798777867 0.004681123886 0.004372355528 0.004237724468 0.004235979635 0.004120233469 0.004065489396 0.003979808651
23,frag@173.02 loss@154.06 frag@145.03 loss@177.06 loss@354.09 loss@173.06 loss@193.08 loss@150.03 loss@190.13 loss@254.06 loss@147.08 loss@189.04 loss@344.11 loss@287.05 loss@221.01 loss@215.06 loss@242.07 loss@354.16 frag@157.03 frag@117.03,0.3472767472 0.02625318617 0.01712281443 0.006048379 0.005303084385 0.005188750103 0.004697607365 0.004192759749 0.00409254944 0.004004828166 0.003812335432 0.003689811099 0.003486655187 0.003379260888 0.003349744715 0.003252186114 0.003211913165 0.002934753429 0.002828073222 0.002671826398
24,frag@177.03 frag@163.07 frag@171.03 frag@209.06 loss@138.0 frag@138.03 loss@198.02 loss@344.97 frag@60.48 loss@389.14 loss@99.05 loss@347.18 loss@97.08 loss@74.06 frag@188.04 loss@278.17 loss@188.03 loss@190.04 loss@386.17 loss@174.05,0.1157826558 0.08793012798 0.06733810902 0.05182186887 0.03831647336 0.03063634038 0.02490318194 0.01094844844 0.01012360584 0.006521326955 0.006028648 0.005905490369 0.005572924856 0.004443476908 0.004030797631 0.003998736385 0.00371818617 0.003629036946 0.003445739392 0.003333308501
25,loss@212.12 loss@247.17 frag@67.05 frag@205.06 loss@193.15 frag@112.08 frag@59.05 frag@84.08 frag@127.09 frag@85.06 frag@188.9 frag@84.09 frag@218.12 frag@43.02 frag@193.1 frag@55.02 loss@733.31 loss@275.01 frag@55.05 frag@277.08,0.2027269602 0.03739928454 0.01740944944 0.01129883621 0.0105950376 0.009823954664 0.007841035724 0.006071506999 0.005538232625 0.005025863182 0.004833521321 0.003901983378 0.003731879871 0.003538793186 0.002949169837 0.002948907204 0.002940031001 0.002926398069 0.002856720705 0.00282198377
26,loss@176.04 loss@120.02 loss@173.1 frag@177.05 loss@80.03 frag@118.04 frag@150.04 loss@145.08 frag@200.08 frag@207.13 frag@224.04 loss@165.04 frag@166.01 frag@79.04 frag@113.01 frag@199.03 frag@220.13 frag@185.03 frag@232.96 frag@233.11,0.1338123232 0.07563663274 0.07551821321 0.04446996003 0.02288935892 0.00953348726 0.009441847913 0.007679118775 0.0060152472 0.005936756264 0.005936334375 0.005923663266 0.005831314716 0.005740590859 0.005500560626 0.005342393182 0.004904108588 0.004875376355 0.004212913569 0.004144193605
27,frag@87.04 loss@230.0 loss@421.16 frag@45.03 frag@43.02 loss@364.1 frag@57.03 loss@470.16 frag@287.06 loss@264.16 loss@680.2 frag@173.95 loss@113.01 frag@97.03 frag@69.03 loss@445.16 frag@71.01 loss@238.12 loss@349.09 loss@454.17,0.2682937384 0.0354530178 0.02822696604 0.02062310278 0.01407324057 0.01133485232 0.004698324483 0.003668899182 0.003631870029 0.003582159523 0.00334006059 0.002986203181 0.002693771152 0.00260538375 0.002543492941 0.002310159616 0.002192994114 0.00190936483 0.001850717003 0.001795278862
28,loss@78.99 loss@79.99 frag@212.09 frag@286.09 frag@280.08 frag@260.08 frag@284.02 frag@194.05 frag@336.08 frag@126.06 frag@212.07 frag@255.03 frag@338.14 frag@231.15 loss@47.0 frag@160.02 loss@261.08 loss@112.04 frag@129.03 frag@299.09,0.1140764505 0.1007193625 0.09675014019 0.03424276039 0.01623546891 0.004604516551 0.004440350924 0.003887513187 0.00342242443 0.003263653489 0.003168821335 0.003155230079 0.00311172381 0.002908827737 0.002843754133 0.002708221786 0.002302942332 0.002079216996 0.00194757618 0.001923475997
29,loss@185.98 loss@145.95 frag@293.14 loss@300.1 frag@158.96 frag@349.14 frag@53.0 frag@115.02 frag@144.1 frag@154.01 frag@151.1 frag@138.01 frag@189.06 frag@228.05 frag@114.07 frag@52.02 loss@241.02 frag@198.99 frag@262.11 frag@107.04,0.1995514035 0.07286583632 0.06635355949 0.02500378899 0.01484101359 0.007500083186 0.006127642002 0.004823416937 0.004764218349 0.004601788241 0.004206771962 0.003875153372 0.003147070762 0.003012447152 0.002969003748 0.002612478798 0.002607000526 0.002459003124 0.002458720468 0.002451056847
30,loss@162.03 frag@229.1 frag@287.07 frag@212.96 frag@90.04 loss@129.11 frag@247.05 loss@35.04 loss@100.0 loss@108.0 loss@91.01 frag@326.11 frag@203.08 frag@247.04 frag@178.95 loss@127.0 frag@346.12 frag@196.08 loss@223.0 loss@102.02,0.08100317419 0.06659246981 0.04820803553 0.02947435156 0.02867804468 0.02552607283 0.01319517009 0.01068315841 0.009205178358 0.009169688448 0.008971463889 0.008816340938 0.008228308521 0.008095734753 0.007811366115 0.007466843352 0.006994725671 0.006771563087 0.00670233462 0.00554114813
31,loss@167.17 frag@172.93 frag@370.2 frag@150.01 frag@256.04 frag@298.06 frag@268.09 loss@320.98 loss@257.15 loss@136.1 frag@200.04 loss@125.12 frag@344.21 loss@450.2 loss@183.99 frag@178.01 frag@309.14 frag@155.02 loss@256.08 frag@211.01,0.1801653504 0.1058865413 0.03166616336 0.004763424862 0.004683181178 0.0036970824 0.003597116563 0.003513189498 0.003317909082 0.002941348357 0.002876992337 0.002788280835 0.002642814768 0.002599568106 0.002538061235 0.002424543956 0.002416121075 0.002329802606 0.002328629605 0.002230731305
32,loss@170.05 loss@226.06 loss@210.0 loss@100.99 frag@119.06 frag@166.97 frag@97.04 frag@134.02 frag@163.02 frag@147.06 frag@154.05 frag@136.04 frag@95.01 frag@83.03 frag@311.18 frag@111.03 frag@147.1 frag@139.03 frag@193.1 frag@85.01,0.1974379718 0.06859084964 0.04435718432 0.02504718676 0.01565832086 0.01115293149 0.0110314656 0.01062959246 0.009504945017 0.008615814149 0.007051265799 0.006789646111 0.006741403602 0.005380915944 0.004792643711 0.004721346777 0.004628977273 0.004605039489 0.004517116118 0.004349336959
33,loss@156.05 frag@207.04 loss@157.03 loss@153.03 loss@139.02 frag@174.04 loss@187.03 frag@193.04 frag@127.0 frag@151.03 frag@169.06 frag@165.04 frag@153.01 loss@206.01 frag@154.01 frag@209.05 frag@238.13 loss@126.04 frag@190.04 frag@143.06,0.1329268664 0.1166129038 0.0896384865 0.06921389699 0.009732201695 0.008482749574 0.008302293718 0.007131211925 0.00611150125 0.00577255059 0.00384423486 0.00335372705 0.003241456812 0.003086892189 0.003068433143 0.002823076909 0.002657117322 0.002580917208 0.002580571221 0.002551539335
34,frag@123.05 loss@206.12 loss@182.12 frag@206.09 frag@211.02 loss@173.13 frag@166.1 frag@141.07 frag@99.06 frag@95.06 loss@220.13 frag@95.07 loss@142.01 frag@123.06 loss@194.12 frag@110.07 frag@230.17 frag@345.19 frag@152.12 loss@187.11,0.2586435974 0.1780952811 0.06227964535 0.03285303339 0.01063778624 0.00619696686 0.006059618201 0.004107202869 0.004063462373 0.00366998883 0.003619575873 0.003493805183 0.003339985618 0.002315021586 0.002307015471 0.002251302125 0.002240979346 0.002220660914 0.002183434553 0.002160894219
35,frag@212.04 frag@229.11 loss@242.03 loss@105.06 frag@299.15 loss@250.12 loss@179.12 loss@277.1 loss@192.01 loss@187.13 frag@118.92 loss@235.09 loss@340.97 frag@86.08 frag@155.08 frag@161.99 loss@337.17 frag@264.12 frag@201.08 frag@167.08,0.09694701433 0.07107854635 0.05421354622 0.05278423801 0.04788495228 0.04669182748 0.03093924373 0.0240287967 0.02247606404 0.01486801635 0.00946123153 0.008105663583 0.007747245952 0.006258692592 0.006157674361 0.005177227315 0.004860256799 0.00385511457 0.003772838973 0.003764484311
36,frag@157.04 loss@156.05 frag@151.05 loss@160.97 loss@237.22 loss@290.07 frag@218.09 frag@238.13 loss@223.15 loss@381.12 loss@139.05 loss@165.1 frag@169.06 loss@154.05 loss@244.98 loss@187.11 loss@203.12 frag@256.13 loss@308.08 loss@238.07,0.3162185252 0.004964394029 0.003561907448 0.003202070482 0.003011284163 0.002751312219 0.002749839099 0.002705980791 0.002589348238 0.002451237058 0.002363976324 0.002337336773 0.002246580319 0.002056710189 0.002035243204 0.001846861094 0.001791726449 0.001789931091 0.001782350591 0.001763545559
37,loss@164.08 frag@192.1 frag@165.09 frag@148.08 frag@319.16 frag@178.09 frag@177.08 frag@127.01 frag@190.09 frag@150.07 loss@331.15 frag@136.03 frag@202.12 frag@314.13 frag@151.08 frag@163.08 frag@178.05 loss@150.09 frag@160.1 frag@121.03,0.3074020445 0.1944853216 0.01784785278 0.01249068882 0.009632868692 0.008609099314 0.007954453118 0.007928483188 0.005703126546 0.004403327126 0.004278808832 0.004226742312 0.004188359715 0.003901289543 0.003474425292 0.003190403106 0.002854359103 0.00276244455 0.002547861077 0.002402257873
38,loss@202.04 loss@273.09 frag@76.02 loss@126.01 frag@167.02 loss@98.02 frag@323.16 frag@148.02 loss@46.03 frag@150.04 frag@308.1 loss@330.07 loss@48.59 loss@272.19 frag@125.03 frag@127.0 frag@170.03 loss@224.03 loss@141.02 frag@236.03,0.0787396878 0.07163234055 0.05660611019 0.04498435184 0.04151012003 0.03900143132 0.02932221256 0.02208551578 0.01267445181 0.008167522959 0.006232125219 0.005471487064 0.004849882331 0.004642184824 0.004442121834 0.004021008499 0.003897157498 0.003885534359 0.002959920559 0.002939754631
39,loss@146.05 frag@217.1 frag@273.11 loss@78.14 loss@151.01 frag@147.06 frag@368.13 frag@144.1 frag@170.08 frag@189.07 frag@173.07 frag@174.06 loss@132.06 frag@179.06 frag@340.13 loss@172.06 loss@172.08 frag@286.12 loss@131.03 loss@57.02,0.1995570362 0.1441170573 0.05083839223 0.0303578712 0.02263505943 0.01632516645 0.01196133066 0.008462192491 0.006091122515 0.00430912897 0.004124802072 0.003149186959 0.003143172245 0.003125459421 0.003078619251 0.002982026665 0.002970929025 0.002940035425 0.002856633626 0.002597645624
40,frag@139.02 frag@111.03 loss@155.04 loss@140.03 loss@181.06 loss@167.04 loss@230.03 loss@182.05 loss@172.07 loss@235.09 loss@333.21 loss@129.04 loss@225.08 loss@141.05 loss@367.11 loss@236.94 loss@244.95 loss@283.02 loss@147.08 loss@292.04,0.3693578839 0.004802692216 0.002439056523 0.002061469946 0.001808969537 0.001714697224 0.001662203111 0.001647038967 0.001506789471 0.001497975783 0.001493844669 0.00135874853 0.001357815461 0.001316309441 0.001302437391 0.001272099558 0.001224186621 0.00121259829 0.001203028136 0.001188356895
41,loss@206.05 loss@172.03 loss@155.04 frag@125.03 frag@170.12 loss@225.07 loss@249.06 frag@137.07 frag@83.03 frag@111.03 frag@99.03 loss@221.04 frag@239.06 frag@158.0 frag@110.01 loss@191.05 frag@149.11 frag@164.04 frag@125.01 frag@124.03,0.1136137322 0.07375992835 0.04373846576 0.03385758772 0.02993297763 0.02722844854 0.0268272534 0.01427345164 0.009750482626 0.007401008625 0.00705140084 0.006141999736 0.005387583748 0.005316360854 0.005170051008 0.005039365031 0.004837968387 0.004807312507 0.004747511819 0.004638126586
42,frag@203.03 loss@158.05 frag@227.03 frag@185.03 loss@287.05 frag@195.01 frag@231.02 loss@342.13 loss@108.08 loss@276.06 loss@421.99 frag@157.03 frag@309.09 frag@274.01 frag@173.03 loss@242.13 loss@203.06 frag@147.03 loss@144.09 loss@205.03,0.2411260605 0.1410627365 0.02685811929 0.02096926235 0.01063026302 0.008006241173 0.005594587885 0.004871988203 0.004564456642 0.00430668192 0.003945048433 0.003365062177 0.003339693416 0.00322882738 0.003147092182 0.00301552075 0.0025766904 0.002396200784 0.002297340659 0.002282766858
