epoch,reconstruction,kl,reconstruction_to_kl_ratio,mean_gradient_norm,mean_effective_document_mass,context_scale,seconds
1,6117.592723240362,119.24848966509383,51.301217654172866,46.369693684800765,662.2481803537529,1.5120872259140015,8.14441584800079
2,5787.8606071115655,90.49745969683211,63.9560560760599,40.681982806909865,661.5767571279936,1.8472033739089966,7.346933722999893
3,5672.368707104264,88.87586718407746,63.82349772583143,49.80723422041563,661.5652106454439,1.9301482439041138,7.225315522000528
4,5601.246540960865,90.64143086371021,61.795654455002826,56.68468671424367,661.6203447858863,1.9634143114089966,7.37421665400143
5,5540.375533915012,93.38550353718695,59.328004069804955,58.56118988322321,661.2968293662383,1.9202250242233276,7.346074929000679
6,5496.745614595502,96.85396290716724,56.75292419231243,66.09946669819199,661.240396374854,1.8328925371170044,7.223653863999061
7,5461.005768107477,101.02694039032838,54.05494561161902,71.01927448878779,661.232963205498,1.65724778175354,7.213615190999917
8,5431.720707688376,105.73778220203435,51.36972418534301,77.36114968986155,661.8234891802351,1.5849732160568237,7.314629624999725
9,5393.650947356892,112.00806940381771,48.154128323660345,78.53214909205927,661.4546543014384,1.428730845451355,7.346476308999627
10,5355.563111492406,117.8195719496112,45.45563205562197,84.60033074494834,661.4785407235689,1.2051429748535156,7.483089826999276
11,5313.474098276869,124.7452786882347,42.594590786528954,87.33563004253067,661.5444273191077,1.0582096576690674,7.378223539999453
12,5264.3840400481895,130.98788651796144,40.18985403910858,90.20203913038021,661.0504578207141,0.8863983154296875,7.324567321000359
13,5217.575756607769,141.2681832001588,36.93383491182255,94.48995322824639,661.4231179495838,0.68496173620224,7.340035724999325
14,5174.040116639895,146.768907778731,35.252971456599546,101.25524424615307,661.598334481783,0.5566431879997253,7.350901435000196
15,5129.731897086741,153.2056988867644,33.48264414679619,100.55021753043772,661.3760661187573,0.5117098093032837,7.382340967000346
16,5101.323283257885,161.30290664245035,31.62573687878828,102.92671360479336,662.3882526148145,0.3755740821361542,7.388251905000288
17,5061.869971159463,167.76884089674905,30.171693051600197,109.4128878584532,661.6320355852074,0.36297422647476196,7.305815804998929
18,5029.975380585573,173.76955378166983,28.94624099055586,111.06276881137741,662.0120564398364,0.3207685649394989,7.388601710999865
19,4997.334427022488,176.00431723906615,28.393249128284864,111.83286698956356,661.3210768655082,0.3477816581726074,7.344983158000105
20,4972.173230322722,180.46550415609485,27.5519316202503,113.41499193138051,661.8680876259492,0.3113256096839905,7.345575748000556
21,4946.381060163551,184.57937622070312,26.798124261992964,116.21177616297642,661.5284064462252,0.3221853971481323,7.379105187999812
22,4923.765725394275,187.8512668787876,26.21097960745386,123.89827050895335,661.0384059442538,0.25877559185028076,7.333667244000026
23,4902.730432242991,193.25498976662894,25.36923076689215,121.75456052405812,661.0526225722839,0.2836683392524719,7.277917759998672
24,4892.58203125,195.37884236273365,25.0415140763635,122.32583183217271,661.5986955589223,0.2809261381626129,7.236631357000078
25,4873.442277854848,199.3129533429012,24.45120698939471,127.1172935984959,661.7653243875949,0.2761409282684326,7.248415654999917
26,4860.912903402454,203.41275523533332,23.896794956534272,138.063998284741,661.7778092143692,0.2522079050540924,7.384567856001013
27,4843.396876825351,206.2582657002957,23.482195297147825,131.94820489616038,661.5957367798992,0.23053759336471558,7.378386643998965
28,4837.163879964954,209.4229739180235,23.09757993341462,134.48078340904735,661.9385929285922,0.25939157605171204,7.28305099300087
29,4823.940137631425,211.32807708455024,22.826782906378387,133.65895101957233,662.0275719188085,0.24516011774539948,7.282378356001573
30,4802.884747371495,214.12787435656395,22.4299837739657,130.6242674355195,661.2522309205242,0.22190940380096436,7.243031870000777
31,4795.743492625584,215.59967868127555,22.243741372709593,135.44507641658603,661.5211181640625,0.2503471076488495,7.253970461999415
32,4786.333354629089,217.0542371518144,22.051324210185218,134.23063039334022,661.7362419912748,0.2530127167701721,7.2386889179997524
33,4775.029146283587,219.5551328569929,21.74865640419256,137.3694880120108,661.7815614504235,0.2266729176044464,7.3226139250000415
34,4762.175105870327,221.08037873740508,21.540469276682146,140.05718573454385,661.3337778822283,0.21976354718208313,7.449968484001147
35,4752.75134619597,222.74114975973825,21.33755415792083,140.51355137334806,661.4153242735105,0.22789375483989716,7.313196753999364
36,4747.526928482769,225.57925201130806,21.045937896118126,143.21032479544667,661.6193345684871,0.22074510157108307,7.35364874699917
37,4738.510687426986,226.96890244528512,20.87735648529775,139.79216666533569,661.5186642085281,0.2280620038509369,7.38961765699969
38,4729.778963748539,229.36207523524203,20.621451732582674,144.05577180095923,661.5982626086084,0.21012374758720398,7.2694894910000585
39,4722.581205278913,229.17786671290887,20.606619971704735,144.01714339211722,661.6260461539865,0.2119353711605072,7.280454321999059
40,4713.432334258177,231.45458314129127,20.364394043477922,145.93361699469736,661.300509729118,0.22177204489707947,7.244446945998789
41,4712.368004344334,234.05096435546875,20.13393970548802,156.29846818870473,662.0728195047824,0.18226203322410583,7.233406118999483
42,4701.824022524825,235.7598744330005,19.94327505404663,148.16157824079568,661.6416335061332,0.1952040046453476,7.303972076999344
43,4700.905848422897,235.54983349381206,19.957160566391956,151.15673321875457,662.130262713566,0.20919859409332275,7.3406957180013706
44,4685.688599773656,235.35273314859265,19.909216846932868,149.30799673205223,661.1734989914938,0.23091837763786316,7.257924772000479
45,4687.675069363318,236.03573337447978,19.86002289715236,150.7595232669438,661.8021285868136,0.20993483066558838,7.187129117999575
46,4673.815584842289,238.06519296236127,19.63250287319924,153.01204110974464,661.1998393691589,0.17795857787132263,7.207189573000505
47,4675.492360908294,239.0858527923299,19.555704807717877,154.6462724632192,662.0482114987952,0.18673717975616455,7.2002931050010375
48,4669.61554468458,241.5793830657674,19.3295283952825,156.69346176575277,661.9082111109083,0.1768908053636551,7.210029456000484
49,4661.627708363756,241.87835664838275,19.272611956514734,151.53558834468092,661.8003967855578,0.1840691864490509,7.194362248999823
50,4659.7419410776865,241.8957412577121,19.263431083366065,151.8383776941032,661.8431185428227,0.17387190461158752,7.221826109000176
51,4653.089825496495,243.58107565050926,19.10283798965056,151.9849675971771,661.5168605340975,0.17352156341075897,7.235463678000087
52,4646.8620537018105,244.1011150039245,19.036627725469838,158.7494337848414,661.2549010660047,0.19367676973342896,7.236925418999817
