topic_id,top_words,top_probabilities
0,frag@70.06 loss@302.14 loss@187.08 loss@236.09 loss@249.15 loss@219.12 loss@257.15 loss@232.1 loss@258.04 loss@280.05 loss@282.08 loss@287.13 loss@271.13 loss@284.12 frag@98.08 loss@260.13 loss@261.11 loss@247.12 loss@282.15 loss@227.08,0.4559417069 0.06227592379 0.0613745451 0.05196593702 0.04731011018 0.04489512369 0.03475166857 0.01898993365 0.01039176062 0.009714845568 0.009484898299 0.007163674105 0.006844967604 0.006583217531 0.00598118687 0.005340198055 0.005164507311 0.005131535232 0.005087757017 0.005044227466
1,frag@233.07 frag@193.02 loss@66.01 frag@95.04 loss@89.01 loss@116.02 loss@85.03 loss@105.02 loss@146.03 loss@123.03 loss@126.01 frag@66.05 loss@74.02 loss@132.05 frag@132.03 loss@46.03 frag@232.03 frag@89.02 frag@293.19 loss@109.02,0.0965507552 0.06886168569 0.0612927787 0.06038028747 0.05217590556 0.04271586612 0.03822910413 0.03762923554 0.03363592923 0.02932306752 0.02796431445 0.02768122964 0.01795893349 0.01765134372 0.01735471375 0.01287894603 0.01266457047 0.01000028662 0.009884307161 0.008743524551
2,frag@203.11 loss@214.0 loss@267.07 loss@338.14 frag@83.01 frag@160.99 frag@217.02 loss@115.02 frag@187.11 frag@162.06 loss@253.12 loss@330.05 loss@306.16 loss@330.13 frag@212.06 frag@349.07 frag@81.08 loss@143.01 loss@223.11 frag@338.08,0.1351320446 0.06573908031 0.05544741079 0.0372630693 0.02986359969 0.01705875807 0.01673936099 0.01670441031 0.01383130625 0.01262459531 0.01001423225 0.008115173317 0.007928553969 0.006351668388 0.006342181936 0.006252233405 0.004571889527 0.004243622534 0.004223358817 0.004088292364
3,loss@271.1 frag@211.05 loss@304.09 frag@278.13 frag@96.02 frag@210.06 loss@215.97 frag@227.04 loss@198.12 loss@218.02 frag@254.07 frag@178.02 frag@239.1 frag@193.13 frag@167.08 frag@210.11 frag@189.14 loss@101.0 loss@190.13 frag@208.0,0.2233087122 0.1447488219 0.132257849 0.09251757711 0.08601524681 0.05182920396 0.05181534588 0.04765486345 0.01393045206 0.01135677472 0.006290181074 0.006274052896 0.00522689661 0.003814019728 0.003328760853 0.003166127717 0.002829712117 0.0025005762 0.002388598165 0.002223145682
4,frag@213.06 loss@118.05 frag@232.06 frag@283.12 loss@215.99 loss@156.07 frag@170.0 loss@178.0 frag@331.16 frag@251.09 frag@192.15 loss@126.06 frag@214.06 loss@43.05 frag@283.11 frag@200.09 frag@80.01 frag@339.12 frag@279.08 frag@202.97,0.06222748756 0.0602758266 0.05321533233 0.03380334377 0.02551046759 0.01765636727 0.0160742458 0.01580178738 0.01344945282 0.01340299845 0.01189278066 0.01165011898 0.00950365141 0.009062096477 0.008633809164 0.007768223993 0.006943040062 0.005814880133 0.005609448534 0.00551197445
5,loss@174.07 frag@130.07 frag@159.09 frag@173.07 frag@145.08 loss@157.08 loss@186.08 frag@178.09 frag@187.09 frag@185.07 frag@118.06 frag@174.06 frag@161.07 frag@157.08 loss@264.11 loss@202.07 frag@130.06 loss@264.1 frag@255.08 frag@144.07,0.16073066 0.1510309577 0.05174956843 0.03850758821 0.02041967213 0.01341990195 0.01268481091 0.0125847673 0.01213292964 0.01161424629 0.01041451842 0.01013251208 0.009880317375 0.009358013049 0.009283247404 0.008033513092 0.007698491216 0.007635848597 0.007515667472 0.007074780762
6,frag@190.03 loss@181.15 loss@82.04 frag@82.04 loss@177.15 loss@238.99 loss@97.03 frag@193.06 frag@46.07 frag@192.07 frag@221.05 loss@104.07 loss@157.12 frag@165.07 loss@132.03 loss@104.04 loss@209.06 frag@114.06 loss@277.03 loss@358.06,0.2290048748 0.1062297896 0.05019136518 0.05001928657 0.04379860684 0.03769322485 0.02296782285 0.01245137863 0.01116977632 0.01005072333 0.008569548838 0.008236573078 0.007493644487 0.006883258931 0.006778975483 0.006261807401 0.005428194534 0.005401953589 0.005253865849 0.005213725381
7,loss@181.15 frag@153.07 loss@237.18 frag@168.04 loss@338.12 frag@288.1 loss@279.17 loss@203.15 frag@83.08 frag@188.99 frag@158.12 frag@166.04 loss@155.11 frag@59.05 frag@69.07 frag@235.14 frag@181.06 frag@284.05 loss@157.11 frag@140.14,0.2360646129 0.08612693846 0.08094185591 0.06734345853 0.03187668324 0.02625711448 0.01754565164 0.01707971469 0.01662220992 0.01575649902 0.01560566761 0.01408790145 0.01166263688 0.009973501787 0.009050069377 0.007778801955 0.007730104961 0.007359597832 0.006644879002 0.006201358046
8,frag@224.08 frag@263.07 loss@215.99 frag@144.03 frag@181.96 frag@210.08 loss@18.03 frag@256.07 loss@216.98 loss@344.1 loss@126.1 frag@285.07 frag@156.06 loss@130.14 loss@173.97 loss@413.21 loss@86.05 loss@225.01 frag@211.06 loss@280.02,0.07968749106 0.04896610603 0.02825667895 0.01323686447 0.01046525221 0.01013130136 0.008677558973 0.007765953429 0.007123534568 0.007115671877 0.005051265005 0.004844104871 0.00484024873 0.004388229921 0.004385476932 0.004066011868 0.00403617043 0.004015001934 0.004010782577 0.003733317368
9,frag@118.07 loss@215.09 loss@228.09 loss@272.11 loss@240.13 loss@215.14 loss@274.11 loss@267.11 frag@132.08 frag@145.09 frag@118.06 frag@158.06 frag@146.1 frag@130.07 loss@264.11 frag@171.05 frag@159.1 frag@253.13 frag@160.08 frag@142.06,0.302491188 0.09639217705 0.05180525407 0.04567970708 0.04257565364 0.01638903655 0.01599952579 0.01337974798 0.01259829476 0.01199082937 0.009986069985 0.00939688459 0.009285123087 0.00898937881 0.008886344731 0.008846264333 0.007738022599 0.007485700306 0.007082703523 0.00656708749
