theta_temperature,median_effective_topics_per_spectrum,mean_effective_topics_per_spectrum,median_max_theta,max_theta_p10,max_theta_p25,max_theta_p50,max_theta_p75,max_theta_p90,max_theta_p95,fraction_max_theta_ge_0_5,fraction_max_theta_ge_0_3,fraction_max_theta_ge_0_2,unique_top1_topics
0.24,130.0138900338129,132.93054426742282,0.09925346759043259,0.04641135258793176,0.06469532110345726,0.09925346759043259,0.16070106656059863,0.2451082784128402,0.3102634954291701,0.007199794291591669,0.05528413473900746,0.15685266135253279,374
0.2,69.20414405232168,72.4989653694538,0.1552420990236403,0.06878026284960119,0.09767718621622774,0.1552420990236403,0.25701170984425326,0.3942286216901717,0.4847085337409412,0.04448444330161996,0.19002314219593727,0.3666752378503471,374
0.18,46.02049930429876,50.570547108462776,0.19731365245990712,0.0853509425847329,0.12270745531053275,0.19731365245990712,0.33033279146105815,0.4913694649510496,0.595165287618022,0.09411159681151968,0.2854204165595269,0.4931859089740293,374
0.16,28.940546836489233,33.89761593990913,0.252985419967132,0.10680469256041147,0.1564411822811458,0.252985419967132,0.41744768044499286,0.6051844954686145,0.7110619231865165,0.1697094368732322,0.412188223193623,0.6256106968372332,374
0.14,17.05986776718678,21.811528910052672,0.3234033556277631,0.13715870960038665,0.2009792028569255,0.3234033556277631,0.5218862927478368,0.723661497999249,0.8148640805408803,0.2656209822576498,0.5417845204422731,0.7521213679609154,374
0.12,9.741944175207344,13.490916807061394,0.4124555050439804,0.1775478243744363,0.2591873692938633,0.4124555050439804,0.6366234989678535,0.8328567299265397,0.9002724699061183,0.38416045255849834,0.6783234764721008,0.8614039598868604,374
0.11,7.3533899246105126,10.477562804219167,0.46124183936540053,0.2034389101037896,0.2952586416241021,0.46124183936540053,0.6987566589472887,0.876458152290441,0.9349620330975403,0.45152995628696324,0.740035998971458,0.9043455901259964,374
0.1,5.620887650124486,8.090981012664596,0.5143519070800415,0.23235944146100324,0.3357897696352819,0.5143519070800415,0.759339441338875,0.9163527525753039,0.9599390263892229,0.51967086654667,0.8017485214708151,0.9377732064798149,374
0.09,4.316929143512331,6.232425119996467,0.5720091887025364,0.26682368835718934,0.382476356144402,0.5720091887025364,0.8182569790390664,0.9472651575675805,0.9770145720438644,0.5903831319105168,0.8611468243764464,0.9624582154795577,374
0.08,3.3152633455834613,4.80868127201854,0.6355461493575684,0.30442154840250746,0.4337838651233384,0.6355461493575684,0.8723800427406143,0.9706667145036092,0.988770974397178,0.6659809719722294,0.9040884546155824,0.978400617125225,374
0.07,2.6222659740595775,3.7338845546313784,0.7041275319489828,0.348610930439726,0.48822301435838955,0.7041275319489828,0.9202523968135268,0.9854945671213613,0.9954195992893565,0.7343790177423503,0.9372589354589869,0.9894574440730265,374
0.06,2.1201591089650287,2.9315303635804493,0.7785441120733216,0.39575480173094385,0.5462043815121661,0.7785441120733216,0.9558329552531166,0.9943987743272181,0.9986211517341773,0.8009771149395731,0.9624582154795577,0.9948572897917203,374
0.05,1.7627110797774983,2.3364436892711944,0.8508050025564745,0.4537419368556612,0.6082967600542739,0.8508050025564745,0.9798992078032968,0.9984392091538398,0.9997153782530106,0.8575469272306505,0.9825147852918488,0.9989714579583441,374
0.04,1.4156641447925506,1.8959651340652817,0.9170860833562062,0.5108774663828893,0.6890774206690027,0.9170860833562062,0.9935418197855856,0.9997579206196283,0.9999722089272081,0.9089740293134482,0.9915145281563383,1.0,374
0.03,1.167418925293829,1.5695613794292322,0.9698973806111627,0.5716125317711046,0.7864537194134767,0.9698973806111627,0.9990402826052819,0.9999882012162097,0.9999993685249632,0.9475443558755464,0.9966572383646182,1.0,374
