theta_temperature,median_effective_topics_per_spectrum,mean_effective_topics_per_spectrum,median_max_theta,max_theta_p10,max_theta_p25,max_theta_p50,max_theta_p75,max_theta_p90,max_theta_p95,fraction_max_theta_ge_0_5,fraction_max_theta_ge_0_3,fraction_max_theta_ge_0_2,unique_top1_topics,top1_assignment_stability,top3_set_stability,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,sos_high_gt_0_8,sos_intermediate_0_6_to_0_8,sos_low_lt_0_6,associated_spectra,associated_molecules,gate_optimized,gate_evaluable,gate_useful,gate_mean_sos,completion_nll,completion_oov_fraction,finite_stable,gate_completion_nll,passed_all_numeric_gates
0.24,130.0138900338129,132.93054426742282,0.09925346759043259,0.04641135258793176,0.06469532110345726,0.09925346759043259,0.16070106656059863,0.2451082784128402,0.3102634954291701,0.007199794291591669,0.05528413473900746,0.15685266135253279,374,1.0,1.0,967,14,11,0.751621101150428,0.7468080578805505,6,5,3,28,26,True,False,False,True,8.385787265466822,0.031355544236867795,True,True,False
0.2,69.20414405232168,72.4989653694538,0.1552420990236403,0.06878026284960119,0.09767718621622774,0.1552420990236403,0.25701170984425326,0.3942286216901717,0.4847085337409412,0.04448444330161996,0.19002314219593727,0.3666752378503471,374,1.0,1.0,967,60,43,0.7122501910361994,0.7203504043126685,23,20,17,173,170,True,False,False,True,8.448909490350417,0.031355544236867795,True,True,False
0.18,46.02049930429876,50.570547108462776,0.19731365245990712,0.0853509425847329,0.12270745531053275,0.19731365245990712,0.33033279146105815,0.4913694649510496,0.595165287618022,0.09411159681151968,0.2854204165595269,0.4931859089740293,374,1.0,1.0,967,120,85,0.6811124689185246,0.6854166666666667,27,58,35,366,363,True,False,False,True,8.512026852964556,0.031355544236867795,True,True,False
0.16,28.940546836489233,33.89761593990913,0.252985419967132,0.10680469256041147,0.1564411822811458,0.252985419967132,0.41744768044499286,0.6051844954686145,0.7110619231865165,0.1697094368732322,0.412188223193623,0.6256106968372332,374,1.0,1.0,967,179,120,0.6644851031290486,0.657608695652174,36,84,59,660,653,True,False,False,True,8.604179441093128,0.031355544236867795,True,True,False
0.14,17.05986776718678,21.811528910052672,0.3234033556277631,0.13715870960038665,0.2009792028569255,0.3234033556277631,0.5218862927478368,0.723661497999249,0.8148640805408803,0.2656209822576498,0.5417845204422731,0.7521213679609154,374,1.0,1.0,967,231,153,0.6603323845568988,0.6557971014492753,43,110,78,1033,1022,True,False,False,True,8.731341004563145,0.031355544236867795,True,True,False
0.12,9.741944175207344,13.490916807061394,0.4124555050439804,0.1775478243744363,0.2591873692938633,0.4124555050439804,0.6366234989678535,0.8328567299265397,0.9002724699061183,0.38416045255849834,0.6783234764721008,0.8614039598868604,374,1.0,1.0,967,275,183,0.6634720775170673,0.6585365853658537,50,133,92,1494,1481,True,False,False,True,8.897367106053661,0.031355544236867795,True,True,False
0.11,7.3533899246105126,10.477562804219167,0.46124183936540053,0.2034389101037896,0.2952586416241021,0.46124183936540053,0.6987566589472887,0.876458152290441,0.9349620330975403,0.45152995628696324,0.740035998971458,0.9043455901259964,374,1.0,1.0,967,293,194,0.6654363647472641,0.6571428571428571,54,140,99,1756,1741,True,False,False,True,8.994812377843518,0.031355544236867795,True,True,False
0.1,5.620887650124486,8.090981012664596,0.5143519070800415,0.23235944146100324,0.3357897696352819,0.5143519070800415,0.759339441338875,0.9163527525753039,0.9599390263892229,0.51967086654667,0.8017485214708151,0.9377732064798149,374,1.0,1.0,967,305,205,0.6611486343335328,0.6551724137931034,51,154,100,2021,2005,True,False,False,True,9.10082412828223,0.031355544236867795,True,True,False
0.09,4.316929143512331,6.232425119996467,0.5720091887025364,0.26682368835718934,0.382476356144402,0.5720091887025364,0.8182569790390664,0.9472651575675805,0.9770145720438644,0.5903831319105168,0.8611468243764464,0.9624582154795577,374,1.0,1.0,967,313,195,0.6525909172442306,0.6507936507936508,45,150,118,2296,2274,True,False,False,True,9.213923313917313,0.031355544236867795,True,True,False
0.08,3.3152633455834613,4.80868127201854,0.6355461493575684,0.30442154840250746,0.4337838651233384,0.6355461493575684,0.8723800427406143,0.9706667145036092,0.988770974397178,0.6659809719722294,0.9040884546155824,0.978400617125225,374,1.0,1.0,967,322,203,0.6491636392082357,0.6464465937762827,46,157,119,2590,2566,True,False,False,False,9.33220815105722,0.031355544236867795,True,True,False
