model,optimized_motifs,evaluable_motifs,useful_motifs,useful_fraction_evaluable,spectrum_topic_associations,mean_sos,median_sos,completion_nll,median_effective_topics,mean_effective_topics,median_exact_support,p95_exact_support,unique_top1_topics,active_topics_gt_0_0005,corpus_effective_topics,maximum_mean_topic_usage,mean_nearest_beta_cosine,maximum_beta_cosine,catastrophic_duplicate_component,training_seconds,parameters,finite_stable,mag_clustering_failures,mag_optimization_failures,heldout_compounds_excluded_from_mag,sos_band_accounting_valid,training_seed,learned_context_scale
canonical ETM,601,229,146,0.6375545851528385,7777,0.6307050815097536,0.6355511420059583,8.686003061301614,41.78368436008375,101.42741030454917,1000.0,1000.0,318,300,345.92154301930475,0.0422495607403503,0.30804839730262756,0.9998781681060791,False,696.6703086350001,19278000,True,0,0,True,True,,
balanced ETM,887,250,156,0.624,7777,0.6368819302228385,0.6368581265090337,8.779686439509057,43.833025590192634,108.7832224204761,1000.0,1000.0,279,280,365.7043551887354,0.03357218256956341,0.396365225315094,0.984429657459259,False,739.956851641,19278000,True,0,0,True,True,,
Contextual Sparse ETM,799,731,424,0.5800273597811217,7777,0.6244410632308578,0.6222222222222222,9.535539900160135,3.6800412751216887,4.060081631840486,6.0,13.0,917,537,549.2670513845072,0.01832130629995364,0.14990371465682983,0.9975755214691162,False,811.2372344979976,19278001,True,0,0,True,True,7043,0.20891593396663666
Tomotopy LDA,607,605,365,0.6033057851239669,7777,0.6379225460727932,0.6335227272727273,9.73480175782113,,,,,,,,,,,,5356.048931229,,True,0,0,True,True,,
