training_seed,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,completion_nll,median_effective_topics,median_exact_support,unique_top1_topics,corpus_effective_topics,learned_context_scale,training_wall_seconds,finite_stable,catastrophic_duplicate_component,mag_clustering_failures,mag_optimization_failures,heldout_compounds_excluded_from_mag,sos_band_accounting_valid
7043,799,731,424,0.6244410632308578,0.6222222222222222,9.535539900160135,3.6800412751216887,6.0,917,549.2670513845072,0.20891593396663666,811.2372344979976,True,False,0,0,True,True
23,798,740,432,0.6212611749476903,0.6228442256668063,9.526086151548832,3.714082708226903,6.0,922,544.908329773493,0.19826266169548035,820.4722309460021,True,False,0,0,True,True
37,805,740,415,0.6181684257877627,0.6198000198000198,9.516053890088319,3.743870932357813,6.0,914,541.9000133497261,0.20165331661701202,813.3714685470022,True,False,0,0,True,True
