topic_id,top_words,top_probabilities
0,frag@91.05 loss@219.09 loss@247.08 loss@169.09 loss@206.11 loss@217.1 frag@91.06 loss@247.11 loss@225.1 loss@328.12 loss@228.09 loss@230.09 loss@298.12 loss@223.1 loss@256.09 frag@109.06 loss@254.12 loss@213.03 loss@300.16 loss@238.1,0.421515584 0.02386803366 0.02126867138 0.01899774186 0.01849486679 0.01778335497 0.01657884568 0.01497442834 0.01361026056 0.01183612645 0.01090898551 0.01020190027 0.0100432178 0.009515621699 0.009475414641 0.009278275073 0.008794956841 0.008407603018 0.008401655592 0.007657166105
1,loss@214.03 frag@139.07 frag@211.05 loss@287.03 frag@347.19 frag@229.11 loss@295.11 frag@207.11 loss@213.09 frag@97.01 frag@220.06 loss@382.17 frag@144.06 loss@187.03 loss@217.03 loss@252.06 frag@413.16 frag@101.95 loss@245.07 loss@217.06,0.1400223523 0.1308699101 0.124396123 0.024509551 0.005136214662 0.00353449001 0.003498671344 0.002956851618 0.00278408872 0.002693533199 0.002325715031 0.002308777533 0.002218103036 0.002159269061 0.002128197346 0.00206880318 0.002045981586 0.002043961082 0.00187934062 0.001858674455
2,loss@195.14 loss@196.13 loss@259.07 frag@99.06 frag@182.01 frag@126.08 frag@353.09 frag@87.06 frag@151.99 frag@125.08 frag@68.05 frag@60.04 frag@86.06 frag@84.08 frag@120.07 frag@166.06 frag@83.07 frag@110.07 frag@137.08 frag@179.12,0.1331762522 0.1035549864 0.03352633864 0.00673302589 0.006344703026 0.006142996717 0.004688494373 0.004687653389 0.004583465401 0.004495552741 0.004421711434 0.004341747146 0.004309270065 0.004222496878 0.00417872332 0.004020617343 0.003843032056 0.003839026904 0.003774299752 0.003514870303
3,frag@74.93 loss@185.09 frag@239.1 loss@163.04 frag@122.04 loss@354.16 loss@193.08 loss@238.12 frag@201.13 loss@198.12 frag@165.05 frag@176.05 loss@329.07 frag@194.08 frag@124.03 frag@155.07 frag@176.07 frag@292.13 frag@273.11 loss@218.02,0.1171652004 0.09626277536 0.05635529384 0.05165776238 0.04261801764 0.02522544377 0.005853629671 0.004136836156 0.004010130651 0.003993167076 0.003990660422 0.00371634285 0.003657395719 0.003584636142 0.00356467953 0.003409402445 0.003364490811 0.003108384553 0.003044667188 0.002917427802
4,frag@145.06 frag@155.06 frag@155.05 loss@136.07 loss@176.11 loss@158.04 loss@144.06 loss@172.05 loss@165.0 loss@158.03 frag@128.06 loss@171.07 loss@194.02 loss@244.1 loss@201.08 loss@225.12 loss@248.1 loss@177.05 loss@164.03 loss@174.08,0.1853971183 0.1498958021 0.04149531201 0.03402615339 0.02654271945 0.02488589846 0.0247240942 0.01620876789 0.01442736574 0.01408796199 0.004859967157 0.004729741253 0.0045431545 0.004346509464 0.003526353044 0.003213309683 0.003205399495 0.003047072561 0.002880452434 0.00279746321
5,loss@253.12 frag@142.12 loss@208.99 frag@171.95 loss@159.13 frag@214.11 frag@207.98 loss@287.11 frag@166.09 frag@72.94 frag@131.97 frag@57.03 loss@257.09 frag@218.15 frag@220.13 frag@172.11 frag@193.1 frag@332.06 loss@213.1 frag@136.05,0.1350651532 0.05923269317 0.05842888728 0.01517553348 0.007904609665 0.004068627954 0.003821881488 0.003677694593 0.00357345934 0.003450558754 0.003386945929 0.003334157867 0.003224536311 0.002273606602 0.0022613334 0.002232813044 0.002136065857 0.002102151746 0.002055506455 0.001991827041
6,loss@132.09 frag@230.98 frag@142.97 frag@144.09 frag@133.03 frag@297.16 frag@308.12 frag@298.16 frag@317.21 frag@261.97 frag@463.24 frag@350.13 frag@128.04 frag@76.04 frag@233.13 frag@205.04 frag@173.1 frag@238.04 frag@163.03 frag@117.07,0.2746519744 0.0295495633 0.008813431486 0.003403858747 0.002975896467 0.002955164295 0.002703998704 0.00257370132 0.00241001579 0.00231715478 0.002241747919 0.002086494816 0.002066699555 0.002040001797 0.001943301992 0.00188174611 0.00184942584 0.001770477742 0.001722741756 0.001674068393
7,loss@115.1 frag@222.09 loss@126.12 loss@119.09 frag@239.11 loss@156.12 frag@191.11 frag@181.1 frag@224.16 frag@208.09 frag@251.13 frag@195.08 frag@214.12 loss@363.12 frag@211.09 frag@188.03 frag@116.11 frag@195.12 frag@309.2 frag@213.0,0.2269980311 0.08109564334 0.06095932797 0.03219713271 0.02387955412 0.01790084504 0.01704373024 0.01689697243 0.01379857678 0.01247880887 0.01196733583 0.009499780834 0.009390358813 0.006797622424 0.006424055435 0.00634548394 0.006200495176 0.005924633238 0.00532973744 0.005303751677
8,frag@131.06 frag@132.07 loss@217.12 loss@192.11 loss@188.94 loss@308.07 frag@159.06 loss@262.99 frag@146.08 frag@133.08 loss@190.03 frag@104.05 loss@194.01 frag@132.04 loss@144.01 loss@183.02 loss@92.99 loss@291.16 loss@197.05 loss@122.05,0.2145057321 0.08916621655 0.07404814661 0.02965601534 0.02690651082 0.02568365075 0.01898139529 0.01835792325 0.014431349 0.01395024266 0.01392553933 0.01138152461 0.00976197049 0.00853956677 0.008214251138 0.00751771871 0.007130378392 0.006834764965 0.005639921408 0.005630763713
9,frag@159.08 frag@158.07 loss@188.07 frag@144.06 frag@161.06 loss@473.29 frag@132.06 loss@186.04 loss@196.04 loss@205.06 frag@130.04 loss@206.12 loss@165.05 loss@364.08 loss@290.1 loss@309.06 frag@146.07 loss@239.08 frag@136.03 frag@211.98,0.2194894105 0.02668014914 0.006655274425 0.006456254981 0.006185084581 0.004523335956 0.004092589021 0.004074418917 0.004026445094 0.003872300033 0.003652866464 0.00345834787 0.003404059215 0.003205585526 0.003082225798 0.002836385742 0.002763323719 0.00274422369 0.002684972249 0.002683871659
10,loss@210.05 loss@204.99 frag@206.06 frag@84.96 frag@147.05 frag@120.04 frag@65.04 frag@93.06 loss@240.06 frag@126.06 frag@318.03 frag@53.04 frag@385.13 frag@151.12 frag@231.12 frag@240.12 frag@105.07 frag@101.02 frag@187.98 frag@160.11,0.2456353307 0.02794491872 0.01201299205 0.01081102341 0.009389479645 0.009023700841 0.007577518467 0.006327824667 0.004891456105 0.00474335067 0.004731561057 0.004703119863 0.004689475521 0.004618346225 0.004333231598 0.004269863013 0.004210117739 0.00402845256 0.004008111544 0.003785326146
11,frag@158.98 loss@258.06 loss@319.12 loss@143.02 loss@185.96 loss@292.15 frag@275.12 loss@393.13 loss@159.06 loss@174.0 loss@257.0 frag@70.04 loss@228.94 frag@175.11 loss@353.05 loss@213.18 loss@318.14 loss@62.07 loss@297.11 loss@133.09,0.3837520778 0.07041628659 0.06760079414 0.05018109828 0.02965904586 0.02556635626 0.01281382237 0.01242674142 0.009304475039 0.004679146688 0.00446902588 0.004237511661 0.00272659515 0.002647149377 0.002452715533 0.001639026566 0.001625729492 0.001599244191 0.00157168298 0.001557294745
12,frag@138.07 frag@164.08 loss@286.04 frag@162.07 loss@221.12 loss@165.09 loss@313.15 loss@193.09 loss@277.07 loss@231.02 loss@247.1 loss@233.08 loss@137.06 loss@264.09 loss@207.08 loss@261.15 loss@210.0 loss@207.1 loss@325.16 frag@96.04,0.2217760235 0.08760932088 0.03743472695 0.005787627306 0.005140193738 0.004667542875 0.004529830534 0.004346456379 0.00411839271 0.00395844318 0.003941113595 0.003461922985 0.003175082617 0.003027533181 0.002884780522 0.002874764381 0.002711674664 0.002707004314 0.002502281684 0.002397811506
13,frag@173.08 frag@186.09 frag@147.07 loss@148.08 loss@215.12 loss@185.01 loss@113.13 loss@203.02 frag@172.08 loss@47.0 frag@159.07 frag@201.11 loss@85.1 loss@176.11 frag@174.09 loss@164.11 loss@317.14 loss@131.1 loss@163.07 loss@303.06,0.2531647384 0.02752947062 0.007036097348 0.006556245033 0.006294688676 0.005033004563 0.004794456065 0.004379861522 0.004369195551 0.00429983763 0.004094554577 0.004003270995 0.003756705439 0.003725322196 0.003715128638 0.003703233087 0.003385909135 0.003168268129 0.00315431715 0.003030771855
14,loss@186.14 frag@169.1 frag@154.12 loss@181.15 loss@211.16 loss@168.16 frag@110.1 frag@83.09 frag@131.97 frag@97.1 frag@124.11 loss@342.06 loss@214.14 frag@249.07 frag@86.08 loss@231.16 frag@181.1 loss@264.16 loss@247.13 frag@225.16,0.1190989166 0.1084705666 0.07747112215 0.07022019476 0.04293981194 0.03891200945 0.01887113787 0.01149527077 0.0100546293 0.01000408921 0.007092162967 0.006494787056 0.006057514343 0.005605075974 0.005604159087 0.005490192678 0.005014649127 0.004128762521 0.003946687095 0.003762707347
15,loss@110.07 frag@297.09 frag@316.11 frag@212.0 frag@260.18 frag@196.03 frag@189.07 frag@83.09 frag@463.24 frag@206.08 frag@270.11 frag@219.08 frag@186.07 frag@163.05 frag@194.12 frag@286.11 frag@391.17 frag@196.07 frag@224.98 frag@254.04,0.3191278279 0.04818023741 0.03762475029 0.01563490555 0.01278347615 0.01158839464 0.003299984382 0.003201368963 0.002903118031 0.002788472921 0.002784377662 0.00252012792 0.002235951601 0.002138568321 0.002011615084 0.001713394304 0.001689782832 0.001679229783 0.001514150761 0.001494079363
16,frag@139.01 frag@129.01 loss@231.01 frag@130.01 frag@139.0 loss@290.15 loss@288.14 frag@151.1 frag@259.12 loss@155.01 loss@172.04 frag@197.09 loss@217.0 loss@148.04 loss@123.02 loss@241.16 loss@148.07 loss@300.05 frag@108.02 loss@455.15,0.1196229681 0.1009561419 0.06507603824 0.05422056839 0.03067657538 0.02944518812 0.01357288472 0.01086604502 0.009948081337 0.00926473923 0.007916679606 0.007110823877 0.005679420196 0.004453457426 0.003992972896 0.003863613121 0.00384996552 0.003373298794 0.00313779572 0.002853736281
17,frag@241.02 loss@287.05 loss@281.05 loss@261.03 loss@342.13 frag@162.05 frag@210.14 frag@117.05 frag@141.04 frag@185.03 frag@188.04 loss@183.14 loss@276.06 frag@309.09 frag@171.04 frag@135.03 frag@60.06 frag@126.08 frag@195.01 loss@202.01,0.09033837914 0.06788629293 0.02850671671 0.02461809665 0.01220278069 0.005608525593 0.00469109742 0.003872197587 0.003659192706 0.003585928585 0.003480968531 0.003294892143 0.002996169031 0.002957137767 0.002873786725 0.00262693665 0.002363950945 0.002261220245 0.002124367747 0.002056834521
18,loss@152.05 frag@291.09 frag@122.94 frag@211.05 frag@191.03 frag@309.09 frag@139.04 frag@155.07 frag@287.05 loss@241.97 frag@213.08 frag@260.08 frag@163.03 frag@224.99 frag@247.09 loss@130.02 frag@165.05 frag@153.05 frag@185.04 frag@323.15,0.2465227097 0.04584516957 0.02245014906 0.0181281995 0.008161977865 0.007075552829 0.005893261638 0.004645335022 0.003727531992 0.003723365022 0.003647575388 0.003550842172 0.003142375499 0.003125610063 0.003124899231 0.002920868574 0.00291670952 0.00263961521 0.002615273464 0.002551293233
19,loss@236.04 frag@53.04 frag@150.06 loss@129.03 frag@81.03 loss@382.17 frag@52.03 frag@110.01 frag@53.0 frag@193.04 loss@248.06 frag@214.08 frag@193.13 loss@181.12 loss@138.04 frag@155.98 loss@409.09 frag@99.06 loss@257.96 frag@224.01,0.1669150591 0.08978830278 0.06108484417 0.04479499534 0.03915638849 0.0234040115 0.007567718625 0.007463888731 0.005061265081 0.00467806682 0.003752784105 0.003701622831 0.00350823882 0.0031971219 0.002930836752 0.002894657664 0.002866584109 0.002855961444 0.002842151793 0.002568123164
20,loss@181.03 loss@221.03 frag@125.01 loss@313.19 frag@135.1 frag@193.1 frag@123.0 frag@208.01 frag@139.03 frag@299.07 frag@143.03 frag@153.01 frag@242.13 frag@164.03 frag@102.04 frag@75.03 frag@246.06 frag@381.17 frag@125.02 frag@318.03,0.214126423 0.09940478206 0.02396783791 0.0149733806 0.01392737869 0.01347212866 0.01108681224 0.00707620522 0.006851017941 0.005921851844 0.005692930892 0.005574546754 0.005172019359 0.004473805428 0.004317252431 0.004111730028 0.004079567268 0.003924339078 0.003921648487 0.003908807877
