training_seed,data_split_seed,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,completion_nll,median_effective_topics,median_exact_support,unique_top1_topics,corpus_effective_topics,learned_context_scale,training_wall_seconds,finite_stable,catastrophic_duplicate_component
7043,42,803,445,289,0.6471527969843748,0.6578947368421053,9.54292436011611,3.6993879168431225,6.0,828,538.4028391476129,0.17718999087810516,876.7970338140021,True,False
23,42,791,453,274,0.6375580383595507,0.6395348837209303,9.546012354985589,3.7020692097206123,6.0,816,535.3368786495828,0.18422889709472656,795.3899105929868,True,False
37,42,787,439,275,0.6473499549023675,0.6477272727272727,9.539388063230367,3.7135154307212956,6.0,813,524.1597533977895,0.2003410905599594,798.4678538060216,True,False
