model,gate_temperature,gate_gamma,trained_separately,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,sos_high_gt_0_8,sos_intermediate_0_6_to_0_8,sos_low_lt_0_6,associated_spectra,associated_molecules,membership_threshold,leakage_audit_passed,completion_nll,completion_oov_fraction,median_effective_topics_per_spectrum,mean_effective_topics_per_spectrum,median_max_theta,fraction_max_theta_ge_0_5,fraction_max_theta_ge_0_3,fraction_max_theta_ge_0_2,unique_top1_topics,topics_never_top1,corpus_effective_topic_count,active_topics_gt_0_0005,active_topics_ge_1_over_k,maximum_mean_topic_usage,mean_nearest_beta_cosine,median_nearest_beta_cosine,maximum_beta_cosine,duplicate_components_0_95,duplicate_topics_0_95,largest_duplicate_component_0_95,duplicate_components_0_99,duplicate_topics_0_99,largest_duplicate_component_0_99,duplicate_components_0_999,duplicate_topics_0_999,largest_duplicate_component_0_999,catastrophic_duplicate_component,median_beta_effective_words,median_beta_max_probability,median_beta_top20_mass,top_word_uniqueness,fragment_mass_median,fragment_mass_fraction_extreme,training_wall_seconds,validation_full_spectra_per_second,peak_process_bytes,parameters,finite_stable,gate_optimized,gate_evaluable,gate_useful,gate_mean_sos,gate_completion_nll,gate_finite_stable,gate_no_catastrophic_duplicate_component,passed_all_frozen_gates
M1,,,,884,408,265,0.6580793714074608,0.6488636363636364,79,186,143,1411,,0.5,True,8.974139925584877,0.031355544236867795,7.2008717275848095,12.11738891753681,0.40749138308063243,0.3628182051941373,0.6646952944201594,0.8431473386474673,786,214,643.0299534053804,649,302,0.025539095383205528,0.186479389667511,0.12206722795963287,0.9766051173210144,3,7,3,0,0,1,0,0,1,False,2598.15576171875,0.08102651685476303,0.21849210560321808,0.33725,0.500000006119933,0.0,1764.874561500037,,,167168,True,True,True,True,True,True,True,True,True
canonical ETM,,,,609,130,79,0.6387960987924486,0.631265664160401,15,64,51,1137,1130,0.5,True,8.69073017608276,0.031355544236867795,43.78513630580258,103.75112611719833,0.36256867361954626,0.29236307534070455,0.6117253792748779,0.7842633067626639,260,740,344.5731500039276,269,161,0.03754486090369994,0.3208776116371155,0.278576135635376,0.999518096446991,6,13,3,2,4,2,1,2,2,False,105.26895904541016,0.1556559056043625,0.6067352294921875,0.34,0.34196781259363973,0.155,3372.4009491250035,19841.38969230237,1684733952,19278000,True,False,False,False,False,True,True,True,False
balanced ETM,,,,911,166,104,0.6298190953455753,0.6329288472145616,19,85,62,1240,1232,0.5,True,8.766068508771959,0.031355544236867795,46.71972801725626,112.68926001383238,0.3740528432118594,0.31884803291334535,0.6060683980457702,0.7693494471586526,260,740,355.7054325020411,275,167,0.03393826980853328,0.399617075920105,0.35316750407218933,0.9958288669586182,11,26,3,2,4,2,0,0,1,False,69.16592407226562,0.19572466611862183,0.6717416048049927,0.3356,0.49999991943228006,0.0,5531.022853249917,15126.51539280875,1562869760,19278000,True,True,False,False,False,True,True,True,False
etm_balanced_gated_t1_g1,1.0,1.0,True,890,181,108,0.6302211246510453,0.6296296296296297,22,86,73,1020,1012,0.5,True,8.695311767710166,0.031355544236867795,64.78548997421402,130.11440672430098,0.32319770343546517,0.2622782206222679,0.5348418616610954,0.7094368732321934,348,652,489.5538937715894,380,197,0.019769876961360767,0.30409494042396545,0.2137780338525772,0.9941532015800476,8,27,7,1,2,2,0,0,1,False,32.78767395019531,0.2347460389137268,0.7792675495147705,0.37875,0.4999999004933824,0.0,5654.097159625031,15527.246083314916,1643347968,19278000,True,True,False,False,False,True,True,True,False
etm_balanced_gated_t1_g2,1.0,2.0,True,889,220,138,0.6451478312946978,0.6425000000000001,40,98,82,877,869,0.5,True,8.686967089971247,0.031355544236867795,65.56835780704141,121.37754453861503,0.3024143897385895,0.22550784263306764,0.5042427359218308,0.674209308305477,471,529,589.3644586037232,514,237,0.01635263940283976,0.22806020081043243,0.09424877166748047,0.993537962436676,10,27,5,2,4,2,0,0,1,False,23.90410041809082,0.26450279355049133,0.8342128992080688,0.40625,0.4999999218624419,0.0,5580.991065583075,16172.92710592196,1653080064,19278000,True,True,False,False,False,True,True,True,False
