theta_temperature,median_effective_topics_per_spectrum,mean_effective_topics_per_spectrum,median_max_theta,max_theta_p10,max_theta_p25,max_theta_p50,max_theta_p75,max_theta_p90,max_theta_p95,fraction_max_theta_ge_0_5,fraction_max_theta_ge_0_3,fraction_max_theta_ge_0_2,unique_top1_topics,top1_assignment_stability,top3_set_stability,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,sos_high_gt_0_8,sos_intermediate_0_6_to_0_8,sos_low_lt_0_6,associated_spectra,associated_molecules,gate_optimized,gate_evaluable,gate_useful,gate_mean_sos,completion_nll,completion_oov_fraction,finite_stable,gate_completion_nll,passed_all_numeric_gates,variant_type,source_model,beta_unchanged,no_catastrophic_duplicate_component,gate_no_catastrophic_duplicate_component,passed_all_frozen_gates
1.0,65.56835413616592,121.37754457833509,0.3024143897385895,0.08245287301879764,0.15877379360259064,0.3024143897385895,0.47502652007394386,0.6583866766045708,0.7686301136787466,0.22550784263306764,0.5042427359218308,0.674209308305477,471,1.0,1.0,889,220,138,0.6451478312946978,0.6425000000000001,40,98,82,877,869,True,False,False,False,8.68696716536028,0.031355544236867795,True,True,False,trained_gamma2_source,etm_balanced_gated_t1_g2,True,True,True,False
0.9,27.35632248132261,74.64413649254845,0.3997431416263407,0.11465670479206168,0.2206111973383892,0.3997431416263407,0.5909745652684205,0.7726332355329891,0.8632687125852013,0.3563898174337876,0.6356389817433787,0.7798920030856261,471,1.0,1.0,889,274,172,0.6416397842309655,0.6405128205128205,42,130,102,1386,1373,True,False,False,False,8.925446992508194,0.031355544236867795,True,True,False,post_hoc_gamma2_calibration,etm_balanced_gated_t1_g2,True,True,True,False
0.8,10.829637343979178,42.21513375379558,0.5054752224737308,0.16280996604984432,0.3033485428253945,0.5054752224737308,0.7073724308939286,0.8672996112102269,0.932302871152086,0.5101568526613526,0.7534070455129853,0.8639753149910002,471,1.0,1.0,889,316,192,0.6336806769902624,0.634037456445993,43,149,124,1984,1970,True,False,False,False,9.28526086776424,0.031355544236867795,True,True,False,post_hoc_gamma2_calibration,etm_balanced_gated_t1_g2,True,True,True,False
0.7,4.748058490672633,22.12213755012383,0.6071316413548484,0.23294245084743903,0.40231394800397435,0.6071316413548484,0.8098655930212482,0.9311267300927941,0.9692154335328151,0.6366675237850347,0.8439187451787091,0.9218308048341476,471,1.0,1.0,889,353,214,0.638489176427826,0.631578947368421,54,160,139,2476,2459,True,False,False,False,9.805136509116224,0.031355544236867795,True,False,False,post_hoc_gamma2_calibration,etm_balanced_gated_t1_g2,True,True,True,False
0.6,2.693492109053385,11.038761116215746,0.7018402227547151,0.3162403530885945,0.4955147563443924,0.7018402227547151,0.8921565751806835,0.9712804052304123,0.9892406154954125,0.7449215736693238,0.9100025713551041,0.9606582669066598,471,1.0,1.0,889,376,228,0.6380258095084195,0.631578947368421,54,174,148,2897,2877,True,False,False,False,10.52438618161421,0.031355544236867795,True,False,False,post_hoc_gamma2_calibration,etm_balanced_gated_t1_g2,True,True,True,False
0.5,1.982497685327515,5.539624350066817,0.7974381952010933,0.4028526722568302,0.5702883598124381,0.7974381952010933,0.9492928330394445,0.9903750952695801,0.9973328783152046,0.8315762406788377,0.9503728464901002,0.9832861918230907,471,1.0,1.0,889,392,236,0.6375982301373082,0.6348697809011988,55,181,156,3234,3211,True,True,False,False,11.468964860793804,0.031355544236867795,True,False,False,post_hoc_gamma2_calibration,etm_balanced_gated_t1_g2,True,True,True,False
0.4,1.579814138560894,3.008568306595002,0.8800638876674212,0.48161299949438385,0.6466500911282137,0.8800638876674212,0.9816573187306579,0.9979278331125203,0.9996114447939146,0.8886603239907431,0.9791720236564669,0.9925430701979944,471,1.0,1.0,889,399,239,0.6390424608621758,0.6379310344827587,59,180,160,3456,3432,True,True,False,False,12.620824689094842,0.031355544236867795,True,False,False,post_hoc_gamma2_calibration,etm_balanced_gated_t1_g2,True,True,True,False
0.3,1.2640553909872683,1.899761859366527,0.9465268797297937,0.5459871444124724,0.7450724088263333,0.9465268797297937,0.9962196399278342,0.9998325324002222,0.9999800679301362,0.9321162252507071,0.9915145281563383,0.9969143738750321,471,1.0,1.0,889,409,248,0.6424417480459127,0.6472868217054263,61,187,161,3625,3600,True,True,False,False,13.863322743500644,0.031355544236867795,True,False,False,post_hoc_gamma2_calibration,etm_balanced_gated_t1_g2,True,True,True,False
