model,gate_temperature,gate_gamma,trained_separately,optimized_motifs,evaluable_motifs,useful_motifs,mean_sos,median_sos,sos_high_gt_0_8,sos_intermediate_0_6_to_0_8,sos_low_lt_0_6,associated_spectra,associated_molecules,membership_threshold,leakage_audit_passed,completion_nll,completion_oov_fraction,median_effective_topics_per_spectrum,mean_effective_topics_per_spectrum,median_max_theta,fraction_max_theta_ge_0_5,fraction_max_theta_ge_0_3,fraction_max_theta_ge_0_2,unique_top1_topics,topics_never_top1,corpus_effective_topic_count,active_topics_gt_0_0005,active_topics_ge_1_over_k,maximum_mean_topic_usage,mean_nearest_beta_cosine,median_nearest_beta_cosine,maximum_beta_cosine,duplicate_components_0_95,duplicate_topics_0_95,largest_duplicate_component_0_95,duplicate_components_0_99,duplicate_topics_0_99,largest_duplicate_component_0_99,duplicate_components_0_999,duplicate_topics_0_999,largest_duplicate_component_0_999,catastrophic_duplicate_component,median_beta_effective_words,median_beta_max_probability,median_beta_top20_mass,top_word_uniqueness,fragment_mass_median,fragment_mass_fraction_extreme,training_wall_seconds,validation_full_spectra_per_second,peak_process_bytes,parameters,finite_stable,gate_optimized,gate_evaluable,gate_useful,gate_mean_sos,gate_completion_nll,gate_finite_stable,gate_no_catastrophic_duplicate_component,passed_all_frozen_gates
etm_balanced_gated_t1_g1,1.0,1.0,True,890,181,108,0.6302211246510453,0.6296296296296297,22,86,73,1020,1012,0.5,True,8.695311767710166,0.031355544236867795,64.78548997421402,130.11440672430098,0.32319770343546517,0.2622782206222679,0.5348418616610954,0.7094368732321934,348,652,489.5538937715894,380,197,0.019769876961360767,0.30409494042396545,0.2137780338525772,0.9941532015800476,8,27,7,1,2,2,0,0,1,False,32.78767395019531,0.2347460389137268,0.7792675495147705,0.37875,0.4999999004933824,0.0,5654.097159625031,15527.246083314916,1643347968,19278000,True,True,False,False,False,True,True,True,False
etm_balanced_gated_t1_g2,1.0,2.0,True,889,220,138,0.6451478312946978,0.6425000000000001,40,98,82,877,869,0.5,True,8.686967089971247,0.031355544236867795,65.56835780704141,121.37754453861503,0.3024143897385895,0.22550784263306764,0.5042427359218308,0.674209308305477,471,529,589.3644586037232,514,237,0.01635263940283976,0.22806020081043243,0.09424877166748047,0.993537962436676,10,27,5,2,4,2,0,0,1,False,23.90410041809082,0.26450279355049133,0.8342128992080688,0.40625,0.4999999218624419,0.0,5580.991065583075,16172.92710592196,1653080064,19278000,True,True,False,False,False,True,True,True,False
