epoch,reconstruction,kl,reconstruction_to_kl_ratio,mean_gradient_norm,mean_effective_document_mass,context_scale,seconds
1,6121.534832250292,122.0099366090008,50.1724285938093,49.842947612298985,661.8217573789792,1.512525200843811,7.626363663999655
2,5798.795569874416,91.9105618913597,63.0917214577441,38.95543126970808,661.922716372481,1.8586655855178833,6.526048561001517
3,5670.161753431659,91.09709317216249,62.24305909208035,45.17324715017158,661.2051072165231,2.072439670562744,6.543792247000965
4,5601.128349518108,92.27781071172696,60.69853961984274,53.869957433682735,661.7289531386901,2.1310935020446777,6.564309156998206
5,5541.231417932243,94.9510579332013,58.3588170426762,60.40157407243675,661.1766020872883,2.012568235397339,6.552150215000438
6,5502.450031030958,98.98978188773182,55.586040559938816,69.71541570503021,661.749375958309,1.8560261726379395,6.526107514000614
7,5454.4997627044395,105.155558505905,51.870769745359134,72.30205874576747,661.3857364832797,1.6914663314819336,6.5543215020006755
8,5415.920049649532,108.97144831006771,49.70035852179422,72.06153028256425,661.8225514064326,1.564176082611084,6.507964622000145
9,5377.4196937061915,113.85029316839771,47.23237458644369,79.54811991040951,661.6668912228023,1.416087031364441,6.578911736998634
10,5341.076797057535,117.98635849997262,45.26859600517948,85.91847236134181,661.6262623439326,1.204802393913269,6.598075747000621
11,5298.597460024825,124.14920136638891,42.6792714065684,89.70620770320714,661.1696024386682,1.0771030187606812,6.585178958001052
12,5257.88238354264,131.35225263934268,40.028871053923574,93.44927515047733,661.5196749963493,0.8663956522941589,6.6244965530004265
13,5211.340719918225,138.01175996299102,37.7601207412737,96.60306777241074,661.126519604264,0.711817741394043,6.585782959999051
14,5175.352484301986,144.65730684939945,35.776640648301075,101.08513242062007,661.3732516565055,0.6904848217964172,6.517011801999615
15,5140.596634053738,148.22005141784098,34.682194378425194,105.4271066968686,661.6050460672824,0.571354866027832,6.522428648000641
16,5105.653124087325,154.586412233727,33.02782599267412,106.65570096880477,661.6378088264822,0.5176576375961304,6.609878339999341
17,5066.181576737734,159.62454737012632,31.738110836991904,108.65703468679267,661.0612102758105,0.4775218069553375,6.491714202998992
18,5040.403425270152,163.79920888169903,30.771842304259792,112.84847509081119,661.6096647743867,0.4483809769153595,6.560425828000007
19,5020.878066588785,168.11618569632557,29.86552452277368,118.95946787896557,661.8009740526431,0.4388046860694885,6.5450174620000325
20,4990.502372955608,173.70519862665194,28.72972376423687,118.55429248275044,661.7669118720794,0.3444924056529999,6.5735677760003455
21,4970.040144020152,177.58209841719298,27.98728130998911,118.75599235463365,661.8832420277819,0.33883023262023926,6.572539977998531
22,4943.084623247663,182.2860977315457,27.117178351842202,121.63354784528786,661.2069114613756,0.33584916591644287,6.585897081000439
23,4926.529985944801,185.3737500627464,26.576200698735608,123.80234991055782,661.5520048052351,0.3388444483280182,6.821809515999121
24,4904.830894969334,189.4742919351453,25.88652447186976,129.18271287579404,661.0373238536799,0.30631908774375916,6.734419903001253
25,4885.718905154789,193.0125973425179,25.31295351921849,125.00056764121368,661.2237257912894,0.2645174562931061,6.618863434001469
